brandname,model,cpucore,clock,gpu,ram,ssd,hdd,display,displayquality,price
Acer, ASPIRE 7 ,8th gen i7 8750H,, GTX 1050Ti 4GB, 16GB RAM, 256GB SSD ,1TB HDD, 15.6 60Hz,FULL HD,126800
Acer, NITRO 5 ,10th Gen i5-10300H,, GTX 1050 4GB, 8GB RAM, 256GB SSD,," 15.6"" 60hz",FULL HD,116800
Acer, Nitro 5 , Intel i7-9750H,, RTX 2060, 16GB RAM, 256GB SSD,,"15.6""  144Hz",FHD,160800
Acer, Nitro 5 ,9th i5 9300H,, GTX 1650 4GB, 8GB DDR4, 512GB SSD,," 15.6"" 60Hz IPS ",Full HD,108800
Acer, Predator Helios 300 ,10 Gen i7-10750H,, RTX 2060 6GB, 16GB RAM, 512GB SSD,," 15.6"" 144Hz",FULL HD,180800
Acer, Predator Helios 300 2019 ,9th gen i7 9750H,, GTX 1660Ti 6GB, 16GB RAM, 256GB SSD,, 15.6′ 144Hz ,,150800
Acer, Predator Triton 300 Gaming Laptop, 10th Gen Intel Core i7-10750H ,, NVIDIA RTX 2070, 16GB DDR4, 512GB PCIe NVMe SSD,," 15.6"" Display",Full HD,214800
Acer, Predator Triton 500 ,i7-9750H,,RTX 2060 6GB, 16GB, 512GB NVMe,," 15.6"" 144Hz ",3ms IPS Display,196800
Acer, Swift 7 ,Intel® Core™ i7-7Y75,,, 8GB RAM, 51 GB SSD,,13.3,FULL HD,120800
ALIENWARE, AREA-51M ,9th gen i7 9900K,, RTX 2070 8GB, 32GB RAM, 256GB,1TB HDD," 17.3"" 144Hz",,432800
Apple, Macbook Air  2019 ,i5  Touch ID,1.6Ghz,,8GB ,128GB,,"13.3"" ",Retina display,146800
Apple, Macbook Air  2019, i5 Touch ID,1.6Ghz,,8GB ,256GB,,"13.3"" ",Retina display,174800
Apple, MacBook Air M1 chip with 8-core CPU, 8-core GPU,,, 8GB RAM ,, 512GB Storage, 13-inch ,Retina display with True Tone Silver,194800
Apple, MacBook Air M1 Chip with 8-core CPU,8‑Core CPU ,,7‑Core GPU ,,256GB Storage,, 13-inch ,Retina display with True Tone Space Gray,146800
Apple, MacBook Pro 16-inch, i7 2.6GHz 6-Core Processor,, AMD Radeon Pro 5300M 4GB, 16GB RAM,, 512GB Storage,,,320800
Apple, MacBook Pro 16-inch, i9 2.3GHz 8-Core Processor,, AMD Radeon Pro 5500M 4GB, 16GB RAM, 1TB SSD Storage,,,,384800
ASUS, ROG ,9th Gen I7 9750H,, GTX 1650 4GB, 8GB RAM, 512GB SSD,," 15.6"" 60Hz",FULL HD,130800
ASUS, ROG Strix G15 Gaming Laptop, Intel i7-10870H 8 cores 16 Threads 16MB Cache,, RTX 2060 6, 16GB RAM, 512GB SSD,," 15.6"" 240Hz  IPS",FHD,196800
ASUS, ROG Strix G15 ,i7-10750H,, GTX 1650Ti 4GB, 8GB, 512GB SSD ,,"15.6""  144Hz",FHD,148800
ASUS, ROG Strix SCAR ,8th gen i7-8750H,, GTX 1070 8GB, 16GB RAM, 512GB SSD,," 15.6"" 144hz",FULL HD,172800
ASUS, ROG Strix Scar II ,i7 8750H,, RTX 2070 8GB, 16GB RAM, 512GB SSD,, 15.6 144hz,,236800
ASUS, ROG Zephyrus G ,AMD Ryzen 7 3750H,, GTX 1660Ti 6GB, 16GB RAM, 512GB SSD,," 15.6"" 120Hz",,156800
ASUS, ROG Zephyrus G14 ,AMD Ryzen 9 4900HS,, RTX 2060 6GB, 16GB DDR4, 1TB SSD,," 14"" 120Hz",Full HD,196800
ASUS, ROG Zephyrus ,G14 Ryzen 7 4800HS,, GTX 1650 4GB, 8GB DDR4, 512GB SSD,,"15.6"" 144Hz  Display",FHD,168800
Asus, ROG Zephyrus G15,AMD Ryzen 7 4800HS,, GTX 1660Ti 6G, 16GB DDR4, 1 TB SSD ,,,,179800
ASUS, ROG Zephyrus M15 ,i7-10750H ,,RTX 2070 Max-Q 8GB , 16GB 3200MHz, 1TB PCIe NVMe SSD ,,"15.6""  240Hz",FHD,228800
ASUS, ROG Zephyrus S Ultra Slim, 8th Gen i7-8750H,, GTX 1070 8GB, 16 GB RAM, 512GB SS,,,,205000
ASUS, TUF Dash F15 ,11th Generation i7-11370H,, RTX 3060 6GB, 16GB RAM, 512GB NVMe SSD,," 15.6""  144Hz",FHD,196800
ASUS, TUF Gaming A15 Gaming Laptop, AMD Ryzen 5 4600H,, GTX 1650ti 4GB, 8GB DDR4 RAM, 512GB PCIe SSD,," 15.6"" IPS",Full HD,130800
ASUS, TUF Gaming A15, Ryzen 7 4800H,, GTX 1660 Ti 6GB, 16GB DDR4, 512GB SSD ,1TB HDD ," 15.6"" 144Hz",Full HD,164800
ASUS, TUF i5 ,10th i5-10300H,, GTX 1650 Ti, 8GB RAM, 256GB SSD,," 15.6""",FULL HD,110800
ASUS, VivoBook 15 , AMD R7-3700U,, RX Vega 10 Graphics, 8GB RAM, 512GB SSD,,"15.6""",FULL HD,102800
ASUS, ZenBook 15 ,8th gen i7 8750H,, GTX 1050 Max-Q 2GB,16GB ,512 GB SSD,," 15.6"" ",FHD,140800
ASUS, ZENBOOK FLIP,i7 8th Gen ,,,16GB ,512 GB SSD,," 14""  Home",FULL HD,134800
BIGBYTE ,,10th Gen i7-10875H,, RTX 2070 8GB, 32GB RAM, 1TB NVME SSD,," 15.6"" 144Hz IPS",FULL HD,218800
BIGBYTE, Dominant BBDMT30 ,10th Gen i7-10870H, 8 core 16 Threads, RTX 3060 6GB,16GB RAM, 1TB NVME SSD,," 15.6"" 144Hz IPS",FULL HD,199800
BIGBYTE, Dominant powerful lightweight Laptop, Intel 10th gen i7 , 8 core 16 Threads, RTX 3060 6GB, 32 RAM, 1TB SSD,, 15.6  FHD144hz Display,,210800
BIGBYTE, RT20601T ,10th Gen i7-10750H,, RTX 2060 6GB, 16GB RAM, 1TB NVME SSD,," 15.6"" 144Hz",FULL HD,168800
BIGBYTE, Workstation Laptop , i7 10th Gen , 8 core 16 Threads, 16 MB Cache RTX 3060 6GB,64GB RAM, 1TB SSD NVME,, 15.6  144hz FHDDisplay,,238800
BIGBYTE, Workstation Laptop , Intel 10th gen i7-10870H  16MB Cache, 8 core 16 Threads, RTX 3060 6GB,64GB RAM, 2TB SSD NVME,, 15.6  144hz Display,FHD,258800
Dell, Alienware 15 R4 ,i7 8750h,, GTX™ 1060 6GB GDDR5, 16GB RAM, 256GB SSD + 1TB HDD,," 15.6"" 60Hz",FULL HD,160800
Dell, ALIENWARE 17 R5, i9-8950HK,, GTX 1070 8GB DDR5 OC, 16GB RAM, 256GB SSD + 1TB HDD,," 17.3"" 120Hz ",QHD,270800
Dell, ALIENWARE 17R5, i7 8750H,, GTX 1070 8GB, 16GB RAM, 256 GB M.2 SSD+1TB HDD,, 17.3 60Hz,FULL HD,225800
Dell, ALIENWARE M17 ,9th Gen i7 9750h,, RTX 2070 8GB, 16GB RAM, 512GB SSD+1TB HD,," 17.3""UHD 4K",,318800
Dell, G3 15 3590, 9th Gen i5-9300H,, GTX 1660 Ti 6GB, 8GB RAM, 512GB SSD,," 15.6"" 60Hz",Full HD,120800
Dell, G5 15 SE Gaming Laptop ,Ryzen 7 4800H ,, AMD RX 5600M 6GB,16GB RAM, 512GB SSD,," 15.6""  144Hz Display",FHD,158800
Dell, G5 15 SE Gaming Laptop ,Ryzen 7 4800H ,, AMD RX 5600M 6GB,8GB RAM, 512GB SSD,," 15.6""  144Hz Display",FHD,152800
Dell, G7 15 7590 ,8th gen Intel i7-8750H,, RTX 2060 6GB , 16GB, 128GB SSD+1TB HDD,," 15.6"" 60hz",FULL HD,180800
Dell, G7 17 7700 Gaming Laptop , i7-10750H,, RTX 2070 SUPER 8GB, 32GB Ram, 1TB SSD,,17.3 inch  144Hz,FHD,280800
Dell, Inspiron 15 5575 ,AMD Ryzen 7 2700U 4-Core,, AMD RX Vega 10, 16GB RAM, 512GB PCIe SSD,," 15.6""",Full HD,114800
Dell, inspiron 3593 ,10th Gen i5-1035G1,,, 12GB RAM, 512GB SSD,," 15.6"" Touch",FULL HD,88800
Dell, inspiron 7370 ,8th gen i5 8250U,,, 8GB RAM, 256GB M.2 SSD,," 13.3"",,94800,FULL HD
Dell, Inspiron 7380,, 8th Gen Intel Corei7-8565U,,, 8GB Ram, 256GB SSD,, 13.3"""" """,FHD,114800
Dell, Inspiron 7490- ,10th gen i7-10510U ,, Intel UHD Graphics, 8GB, 512GB,,"14"" IPS with 100% sRGB color",FULL HD,128800
Dell, Inspiron 7586 ,8th gen i5 i5-8250U,,, 8GB RAM, 256GB SSD,," 15.6 360 Flip Touch""",FULL HD,96800
Dell, Precision 5540 ,8th gen i7-9850H,,T1000 4GB Qudro, 32GB RAM, 512GB SSD,," 15.6""4K Touch",,238800
Dell, Precision 7550 Workstation ,Intel Core Processor i5-10400H,, NVIDIA Quadro RTX 4000 w/8GB GDDR6, 64GB Memory, 1TB NVME SSD,," 15.6""",FULL HD,298800
Dell, XPS 13 7390 ,10th Gen i5-1021U,,, 8GB RAM, 256GB SSD,," 13.3"",,144800,Full HD
Dell, XPS 13 7390,, 10th Gen i7-10710U,,, 16GB RAM, 512GB SSD,, 13.3""""  """,FHD,210800
Dell, XPS 13 9300 ,Intel Core i7-1065G7 10th Gen,,, 16GB RAM, 512GB SSD,, 13.4-inch UHD-4K+ TOUCH,,210800
Dell, XPS 13 9360 , 8th Gen i7-85550U,, , 16GB RAM, 512GB SSD,,"13.3"" Touch ",QHD,174800
Dell, XPS 13 9365, 8th gen i5-8200Y,, , 8GB RAM, 256GB SSD,," 13.3"" Touch 360 Flip",FULL HD,134800
Dell, XPS 13 9365, 8th Gen i7-8500Y,, , 8GB RAM, 512GB SSD,," 13.3"" Touch 360 Flip",FULL HD,158800
Dell, XPS 13 9380 ,8th Gen i7-8565U,, , 16GB RAM, 512GB SSD,," 13.3""",FULL HD,170800
Dell, XPS 13 9380, Core i5-8265U,,, 8GB RAM, 256GB SSD ,,"13.3""",Full HD,134800
Dell, XPS 15 7590 ,9th gen i7-9750H,, GTX 1650, 16GB RAM, 512GB SSD,, 15.6  500-Nits,FHD,210800
Dell, XPS 15 7590 ,9th Gen i7-9750H,, GTX 1650 4GB, 16GB RAM, 512GB SSD,," 15.6"" 4K OLED ",,230800
Dell, XPS 15 9500 , Intel Core i5-10300H 10th Gen,, Intel HD Graphics , 8GB DDR4 RAM, 512GB SSD,,,,174800
Dell, XPS 15 9500 , i7-10750H 10th Gen,, GTX 1650 Ti 4GB GDDR6, 16GB DDR4 RAM, 512GB SSD,,15.6 inch ,FHD,234800
Dell, XPS 15 9500 , 10th Gen- I7-10750H (6-CORE),, GTX 1650 Ti 4GB , 16GB, 512GB SSD,,"15.6""", 4K Touch,258800
Dell, XPS 15 9500 , 10th Gen-i7 10875H 8 core 16 Threads 16 MB Cache,, GTX 1650 Ti 4GB , 16GB, 512GB SSD,,"15.6"" ", ,268800
Dell, XPS 15 9500 , 10th Gen-i7 10875H 8 core,, GTX 1650 Ti 4GB GDDR6, 32GB, 512GB SSD,,"15.6""", 4K Touch,295800
Dell, XPS 15 9575, 8th Gen i7-8705G,, RX Vega M 4GB, 16GB RAM, 1TB SSD,," 15.6"" 4K Touch 360 Flip Touch",,290800
Dell, XPS 9570 ,8th Gen i7-8750H,, GTX 1050Ti 4GB, 16GB RAM, 512GB SSD,," 15.6""",FULL HD,196800
Dell, XPS 9575 ,8th Gen i5-8305G,,RX VegaM 4GB, 8GB RAM , 256GB SSD,," 15.6"" 360 FlipTouch ",FULL HD,154800
Dreammachines, RX2070-17NA32 Laptop, Intel i9 10900K,, RTX 2070 8GB, 32GB RAM, 1TB PCIe SSD,," 17.3"" 144hz G-sync",,378800
Dreammachines, G1650 ,10th Gen i5 10300H,, GTX 1650 4GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,130800
Dreammachines, G1650 ,10th Gen i5 10300H,, GTX 1650 4GB, 16GB RAM, 1TB M.2 SSD,," 15.6""",FULL HD,120800
Dreammachines, G1650, 10th Gen i7-10750H,, GTX 1650 4GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,149800
Dreammachines, G1650 ,10th Gen i7-10750H,, GTX 1650 4GB, 16GB RAM, 1TB M.2 SSD,," 15.6""",FULL HD,140800
Dreammachines, RG2060 ,10th Gen i7-10750H,, RTX 2060 6GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,170800
Dreammachines, RT2070-15NA53 Laptop, Ryzen 5 3600,, RTX 2070 8GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,190800
Dreammachines, RT2070-15NA54 Laptop ,Ryzen 7 3700X,, RTX 2070 8GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,216800
Dreammachines, T1660Ti Laptop ,Ryzen 7 3700X,, GTX 1660Ti 6GB, 16GB RAM, 1TB M.2 SSD,," 15.6"" 144Hz",FULL HD,190800
Gigabyte, 17.3-Inc, Intel i7 7700HQ,, GTX 1070 8GB , 16 GB DDR4 RAM,,, 1TB HDD +256 GB SSD,,160800
HP,14, 10th gen Intel Core i3-1005G1,,, 8GB RAM, 256GB SSD,," 14"" HD",,64800
HP, Envy Core 13 10th Gen i7 10510U,,, MX250 2 GB Graphics, 16GB,512GB SSD,," 13.3""  Touch",FHD,170800
HP, OMEN 15 GAMING AMD Ryzen 7 4800H,,, GTX 1660Ti 6GB, 16GB, 1TB SSD,," 15.6"" 144Hz",,176800
HP, OMEN 15, 9th gen i7-9750H,, GTX 1660 Ti, 16GB RAM, 256GB SSD,," 15.6"" 144Hz  ",FHD,150800
HP, OMEN 17 8th gen i7-8750H,,, GTX 1070 8GB, 16GB RAM, 256GB SSD,1TB HDD, 17.3′ 120Hz,FULL HD,170800
HP, Pavilion 14 Laptop, Intel 11th Gen Core i5-1135G7,,, 8GB RAM, 256GB SSD+16GB Optane Memory,, 14 inch IPS ,FHD,88800
HP, Pavilion 15 GAMING ,AMD Ryze 5 4600H,, NVIDIA GTX 1650 4GB, 8GB, 256GB SSD,,"6"" FULL",,106800
HP, Pavilion 15 Gaming Laptop ,Ryzen 5-4600H,, NVIDIA GTX 1650ti 4GB,16GB,512GB SSD,,"15.6""  144Hz",FHD,134800
HP, Pavilion , Core i7-10750H ,, NVIDIA GeForce GTX 1650Ti ,8GB RAM , 512GB SSD ,,"16.1"" ",,146800
HP, Pavilion Gaming Laptop ,I5 10th gen 10300H,, GTX 1660Ti 6GB, 8GB RAM, 512GB SSD,," 15.6"" 144hz",FULL HD,134800
HP, ProBook 430G5, 8th Gen i5 8250U,,, 8GB RAM, 256GB SSD,," 13.3"" HD AG",,84800
HP, ProBook 440 G5, 8th Gen Core i5 8250U,,, 8GB RAM,, 500GB HDD," 14""",,82800
HP, Spectre x360 2-in-1 ,10th Gen i7-1065G7,, , 8GB RAM, 512GB SSD,," 13.3 ""  Touch",FHD,168800
HP, ZBook 15 G4 ,i7-7820HQ,, Quadro M620 2GB, 32GB RAM, 256GB SSD,1TB HDD," 15.6"" ",FULL HD,230800
HP, ZBook 15u G5, 8th gen i7-8550U,, Radeon™ Pro WX 3100 2GB, 16GB RAM, 512GB SSD,," 15.6"" ",FULL HD,230800
,Laptop 3D Modeling and Rendering, Ryzen 7 3700X,,, RTX 2070 8GB, 16GB, 1TB SSD, Animation 15.6  144Hz,FHD,215800
