Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
HP, 15CS3079 Pavilion , i5,  ,  , 8GB RAM, 256GB SSD,  ,15.6, Touch-Screen,86000
ASUS , TUF FX 506LI GAMING LAPTOP, I5-10300H,  , GTX 1650 TI 4GB GRAPHIC, 8GB RAM,256GB SSD,  ,15.6,FHD DISPLAY ,115000
HP ,PAVILION POWER 15 GAMING, i5-10300H,  ,GTX1650 4GB GRAPHIC,8GB RAM, 256GB SSD,  ,15.6, FHD IPS DISPLAY,112000
HP , 24-DF0309 ,Core™ i3-10th gen,  ,  ,12gb RAM, 256gb SSD,  ,24, FHD Display,88000
HP , 15-GW0010 ,AMD Ryzen™ 3 3250U ,2.6GHz,  ,4GB RAM, 128 GB SSD ,1TB HDD,15.6,  ,63500
Lenovo , V14 , Ryzen 5 4500U ,  ,AMD Radeon Graphics - Twisted nematic (TN),8 GB RAM ,  , 1TB HDD ,14,FHD 1920 x 1080 ,78500
HP ,HP-14, 10th Gen Intel Core i5 Processori5-1035G1, , ,8GB v,256GB SSD, ,14,FHD,84000
HP ,HP-14,11th Gen Core i3 Laptop,  , ,8 GB RAM, 256GB SSD, ,14, touch (35.56 cms) HD Screen,75000
HP ,HP-14, AMD Ryzen ,3 3.5GHz,Radeon Vega 3, 4GB RAM,  ,1TB HDD,14, FHD,56000
HP ,Pavilion 14-CE3065 ,Intel Core i5 (1035G1)10th Gen ,  , ,8GB Ram, 256GB SSD, ,14,FHD Display,85000
Lenovo ,Legion 5 15IMH05H ,i7-10750H 6-Core,  ,NVIDIA GTX 1660 Ti, 8GB RAM, 512GB PCIe SSD, ,15.6, Full HD (1920x1080),155000
Dell , Inspiron 5391 ,Intel 10th Gen Core i7-10510U, , 2 GB Nvidia MX 250 Graphics,  8 GB RAM, 512GB SSD, ,13.3,Full HD (1920 x 1080),116000
Lenovo ,Yoga 7 15ITL5,   Intel Core i5-1135G7 X4 ,2.4GHz,  ,8GB RAM, 256GB SSD, ,15.6,Touch ,107000
HP ,HP-15-DY1076 , Core i5-1035G1 10th gen, , ,8GB RAM, 256GB SSD, ,15.6, HD Display,80000
HP ,HP-255, g7/RYZEN 5,  ,  ,8GB RAM , ,1TB HDD ,15.6, LED,74000
HP, 15-da2180nia ,10th Gen Intel Core i5-10210U,  ,  , 4GB RAM,  ,1TB HDD,15.6, HD,76000
HP ,HP- 14, Intel Core i5-1035G4, , , 8GB DDR4 RAM ,256 GB SSD, ,14,FHD IPS LED 1080p,84000
