Brand name,Model name,CPU core,Clock,GPU,RAM,SSD,HDD,Display_size,Display_quality,        Price,
ACER,ASPIRE E5-576,,,,,,,,,56500,
ACER,ASPIRE E5-576G,,,,,,,,,75500,
Acer,Aspire A515-51G-731M,Intel Core i7 7500U,,NVIDIA GeForce 940MX,12GB RAM,256GB SSD,,15.6,FHD,90000,
ACER,ASPIRE E5-476G,,,,,,,,,102000,
ACER,ASPIRE E5-575-33BM,Intel Core i3 7100U,,,4GB RAM,,,15.6,FHD,48000,
Acer,Aspire E5-576,,,,,,,,,71500,
Acer,Aspire V 15 Nitro 7-593G-76SS,Intel Core i77700HQ,,NVIDIA GTX1060,16GB RAM,,1TB HDD,15.6,FHD,135000,
Acer,Predator G9-593-73N6, Intel Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM,256 SSD,1TB HDD,15.6,FHD,170000,
Acer,Predator Helios 300, Intel Core i7 7700HQ,,NVIDIA GTX1060,16GB RAM,512GB SSD,,15.6,FHD,145000,
Acer,Predator Helios 315,,,,,,,,,206250,
Acer,Predator Triton 500,,,,16GB DDR4 RAM,,,15.6,HD,186800,
Acer,R5,Intel Core i5 7200HQ,,NVIDIA 940MX , 8GB RAM,,,15.6,FHD,77000,
Acer,R5-571TG-78G8,Intel Core I7 7500U,,NVIDIA GeForce 940MX,12GB RAM,,1TB HDD,15.6,FHD ,90000,
Acer,SPIN 5,,,,,,,,,125000,
Acer,SWIFT 3 -GOLD,,,,,,,,,100625,
ACER,Swift 3 SF3 SILVER,,,,,,,,,105000,
ACER,TRAVEL MATE TMP2510 G2-MG,,,,,,,,,105000,
Acer,Travelmate TMP 2410-G2-M,,,,,,,,,71500,
ALIENWARE,AREA-51M,,,RTX 2070,,,,17.3,FHD,432800,
Apple, Mac Mini ,Quad Core i3,3.6GHz,,8GB ,256GB SSD,,,,158000,
Apple, MacBook Air, Intel Dual Core i5,,,8GB RAM,128GB SSD,,13,HD,115000,
Apple, MacBook Air,Intel Dual Core i5,,,8GB RAM,256GB SSD,,13,HD,138000,
Apple, MacBook Air,,,,,128 GB,,,,158000,
Apple, MacBook Air,,,,,128 GB,,,,158000,
Apple, MacBook Air,,,,,256GB,,,,186000,
Apple, MacBook Pro,Intel Dual Core i5,,,8GB RAM,256GB SSD,,13,,212000,
Apple, MacBook Pro,Intel Dual Core i5,,,8GB RAM,512GB SSD,,13,,245000,
Apple, MacBook Pro,Intel Dual Core i5,,,8GB RAM,128GB SSD,,13,,158000,
Apple, MacBook Pro,Intel Dual Core i5,,,8GB RAM,256GB SSD,,13,,185000,
Asus, ROG G531GT-BI7N6,Core i7-9750H,,GTX™ 1650 ,4GB GDDR6 VRAM 8GB DDR4 RAM,512GB SSD,,13,,140000,
ASUS, ROG G752VS-US74K,Intel Core i7-7820HK,2.90GHz,NVIDIA GeForce GTX 1070,8GB  DVDRW,512GB SSD,1 TB HDD,17.3,FHD,280000,
ASUS, ROG GL502VS-DS71,Intel Core i7 7700HQ,,NVIDIA GTX1070,16GB RAM,128GB SSD,1TB HDD,15.6,FHD,195000,
ASUS, ROG GL503VD-DB74, Intel i7 7700HQ,,GTX1050,6GB DDR4,1TB SSHD 256GB SSD,,15.6,FHD,140000,
ASUS, ROG GL503VM-DB74, Intel i7 7700HQ,,GTX1060,16GB DDR4,1TB SSHD 256GB SSD,,15.6,FHD,170000,
ASUS, ROG GL504GM-ES152T Hero 2,Core i7-8750H,,GTX 1060,16GB DDR4 RAM,512GB SSD,,,,175000,
