brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
Acer,Aspire 5,Core i5-1035G1,,Intel UHD,8GB,256GB,,15.6,FHD,84000
Acer,Aspire 5,Core i5-1035G1,,Intel UHD,8GB,512GB,,15.6,HD,90000
Acer,Swift 3,Core i5-1035G1,,MX350,8GB,256GB,,14,FHD,89000
Acer,Swift 3,Core i5-1035G1,,MX350,8GB,512GB,,14,FHD,93000
Acer,Swift 3,Core i7-1065G7,,MX350,8GB,512GB,,14,FHD,115990
Acer,Swift 3,Ryzen 5 4500U,,Vega 8,8GB,256GB,,14,FHD,95000
Acer,Nitro 5,Core i5-10300H,,GTX 1650 Ti,8GB,,1024GB,15.6,FHD,115000
Acer,Nitro 5,Core i5-10300H,,GTX 1650 Ti,8GB,256GB,,15.6,FHD,118000
Acer,Nitro 5,Core i5-10300H,144Hz,GTX 1650 Ti,8GB,512GB,,15.6,FHD,125000
Acer,Nitro 5,Core i5-10300H,,RTX 2060,8GB,,1024GB,15.6,FHD,140000
Acer,Nitro 5,Core i7-10750H,144Hz,GTX 1650 Ti,8GB,256GB,,15.6,FHD,145000
Acer,Nitro 5,Core i7-10750H,144Hz,GTX 1650 Ti,8GB,512GB,,15.6,FHD,155000
Acer,Nitro 5,Ryzen 5 4600H,,GTX 1650 Ti,8GB,,1024GB,15.6,FHD,126000
Acer,Nitro 5,Ryzen 5 4600H,,GTX 1650 Ti,8GB,256GB,,15.6,FHD,123000
Acer,Nitro 5,Ryzen 4800H,144Hz,GTX 1650 Ti,8GB,,1024GB,15.6,FHD,137000
Acer,Nitro 5,Ryzen 7 4800H,144Hz,GTX 1650 Ti,8GB,512GB,,15.6,FHD,144000
Acer,Predator Helios,Core i5-10300H,144Hz,GTX 1660 Ti,8GB,512GB,,15.6,FHD,149000
Acer,Predator Helios,Core i5-10300H,144Hz,GTX 1660 Ti,8GB,512GB,,15.6,FHD,169000
Acer,Predator Helios,Core i7-10750H,144Hz,GTX 1660 Ti,16GB,512GB,,15.6,FHD,190000
