brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
Asus,TUF Dash FX516PM,i7,,,16GB,512GB,,15.6,FHD,209990
Acer,A515,i5,,2GB,8GB,,1024GB,15.6,LCD,86990
Acer,A515, Ryzen 3,,,4GB,128GB,,15.6,FHD,59990
Acer,Predator,i7,,,16GB,512GB,,15.6,FHD,182990
Acer,SF314-57G,i5,,,8GB,256GB,,14,FHD,95990
Acer,SF314-57G,i7,,,8GB,512GB,,14,FHD,115990
Acer,SF714-52T,i7,,,16GB,512GB,,14,FHD,142990
Apple,MacBook Air,i3,,,8GB,256GB,,13.3,QHD,139990
Apple,MacBook Air,M1 Chip,,,8GB,512GB,,13.3,QHD,189990
Apple,MacBook Pro,i5,,,8GB,256GB,,13.3,QHD,189990
Asus,FA506 ,Ryzen 7,,,8GB,512GB,,15.6,FHD,157990
Asus,ROG ZEPHYRUS GA401QM,Ryzen 9,,,16GB,1024GB,,14,FHD,274990
Asus,Strix G512LI,i7,,,8GB,512GB,,15.6,FHD,144990
Asus,TP412UA,i7,,,8GB,256GB,,14,FHD-touch,106990
Asus,VivoBook Flip 14 TP412FA,i3,,,4GB,128GB,,14,FHD,67990
Asus,VivoBook R564JA,i5,,,8GB,256GB,,15.6,FHD,84990
Asus,ZenBook,Ryzen 5,,,8GB,256GB,,14,FHD,99990
Dell,3501,i5,,2GB,8GB,256GB,,15.6,FHD,94990
Dell,3501,i5,,,8GB,256GB,,15.6,FHD,82990
Dell,5505,Ryzen 7,,,8GB,256GB,,15.6,FHD,109990
Dell,G5-15,i7,,4GB,8GB,256GB,,15.6,FHD,135990
Dell,In 5400,i3,,IntelUHD,4GB,128GB,,14,HD,74990
Dell,In 5402,i5,,,8GB,512GB,,14,FHD,108990
Dell,In 5406,i5,,,8GB,256GB,,14,HD-touch,112990
Dell,In 5406,i7,,,8GB,512GB,,14,FHD-touch,123990
Dell,In 5502,i7,,,8GB,256GB,,15.6,FHD,119990
Dell,In 7490,i7,,,8GB,512GB,,14,FHD,114990
Dell,In 7506,i5,,,12GB,512GB,,15.6,FHD,119990
Dell,Vostro 3400,i5,,,4GB,,1024GB,14,FHD,78990
Dell,Vostro 3400,i5,,,8GB,256GB,,14,FHD,82990
Dell,Vostro 3400,i7,,,8GB,512GB,,14,FHD,115990
Dell,Vostro 3401,i3,,,4GB,128GB,1024GB,14,HD,62990
Dell,Vostro 3401,i3,,,4GB,,1024GB,14,HD,58990
Dell,Vostro 3500,i5,,,4GB,,1024GB,15.6,FHD,78990
Dell,Vostro 3500,i7,,,8GB,512GB,,15.6,FHD,115990
Dell,Vostro 3501,i3,,,4GB,,1024GB,15.6,HD,58990
HP,14-cf2224nia,i5,,2GB,4GB,,1024GB,14,HD,82990
HP,14-cf2224nia,i5,,2GB,8GB,128GB,1024GB,14,HD,89990
HP,14-dq1043,i3,,,8GB,256GB,,14,FHD,64990
HP,14-dq1059wm,i5,,,8GB,256GB,,14,HD,78990
HP,15-DW3048NE,i3,,,8GB,256GB,,15.6,HD,64990
HP,15-dy1071wm,i7,,,8GB,256GB,,15.6,HD,99990
HP,15-dy2021nr,i5,,,8GB,256GB,,15.6,FHD,84990
HP,ENVY 13-ba1000,i5,,,8GB,256GB,,13.3,FHD,114990
HP,ENVY-13m-bd0023dx,i7,,,8GB,512GB,,13.3,FHD-touch,137990
HP,OMEN-15,Ryzen 7,,6GB,16GB,512GB,,15.6,FHD,181990
HP,Pav 15-eh0050wm,Ryzen 5,,,8GB,512GB,,15.6,FHD,91990
HP,Pav Gaming 15-ec1073dx,Ryzen 5,,4GB,8GB,256GB,,15.6,FHD,102990
HP,Pav Gaming-15-ec0013dx,Ryzen 5,,,8GB,256GB,,15.6,FHD,89990
HP,14-dk1025wm,Ryzen 3,,,4GB,,1024GB,14,HD,58990
HP,15-dw3047nr,i7,,,8GB,256GB,,15.6,FHD,106990
HP,OMEN-15-dh1019nr,i7,,,32GB,512GB,,15.6,FHD,259990
Lenovo,LEGION 5,i7,,6GB,8GB,512GB,,15.6,FHD,156990
Lenovo,LEGION 5,Ryzen-5,,4GB,8GB,256GB,1024GB,15.6,FHD,124990
Lenovo,15IIL05,i7,,,12GB,512GB,,15.6,FHD,94990
Lenovo,E41-45,AMD,,,4GB,,1024GB,14,HD,41990
Lenovo,Flex14IML,i7,,,16GB,512GB,,14,FHD,124990
Lenovo,IdeaPad 3,i5,,,8GB,512GB,,14,FHD,79990
Lenovo,IdeaPad 3,i7,,,8GB,,1024GB,14,HD,99990
Lenovo,S540,i7,,,16GB,512GB,,13.3,QHD,129990
Lenovo,S540,i7,,,8GB,256GB,,13.3,QHD,119990
Lenovo,slim 7 14IIL05,i7,,,16GB,512GB,,14,FHD,134990
Lenovo,V130 Cel,Celeron,,,4GB,,1024GB,15.6,HD,46990
Lenovo,V130 Cel,Celeron,,,4GB,512GB,,15.6,HD,44990
Lenovo,Yoga 7,i7,,,12GB,512GB,,14,FHD,134990
MSI,GL65-9SDK,i7,120Hz,6GB,16GB,512GB,,15.6,FHD,164990
MSI,GS66 Stealth,i7,120Hz,6GB,16GB,512GB,,15.6,FHD,181990
Acer,NITRO AN515,i5,,4GB,8GB,256GB,,15.6,FHD,117990
Acer,NITRO AN515,Ryzen 5,,4GB,8GB,256GB,,15.6,FHD,107990
Acer,NITRO AN515,Ryzen 7,,4GB,8GB,,1024GB,15.6,FHD,134990
