Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
Acer,Aspire 5,i3 10th Gen,,,4GB RAM,,1TB HDD,15.6,FHD,60000
Acer,Aspire 5,i3 10th Gen,,,4GB RAM , 256GB SSD ,,14, HD ,61000
Acer, Swift 3 SF314-57-56QV,i5 10th Gen,,, 4GB RAM , 256GB SSD ,,14,FHD ,80000
Acer, Aspire 5, i5 10TH GEN,,, 8GB RAM , 512GB SSD ,,15.6,FHD Backlight Keyboard,86000
Acer, Swift 3 SF314-57G-53QQ, i510th Gen ,, NVIDIA MX350 , 4GB RAM , 256GB SSD ,,14, FHD,89000
Acer, Swift 3 SF314-57G-560R ,i5 10th Gen ,, NVIDIA MX350 , 4GB RAM , 512 GB SSD ,,14, FHD ,93000
Acer, Swift 3 , Ryzen 5 4500U ,, AMD VEGA 8 , 8GB RAM , 256GB SSD , ,14,FHD,95000
Acer, Swift 3 SF314-57G-57ZV, i5 10th Gen ,, NVIDIA MX350 , 8GB RAM , 256GB SSD ,,14, FHD ,97000
Acer, Nitro 5, i5 9TH GEN,,GTX 1650,8GB RAM, 128GB SSD, 1TB HDD,15.6,FHD,107000
Acer, Nitro 5,  i5 10TH GEN ,, GTX 1650 , 8GB RAM , 256GB SSD ,,15.6, FHD,112000
Acer, Swift 3 SF314-57G-74RA ,i7 10th Gen ,, NVIDIA MX350 , 8GB RAM , 256GB SSD ,,14, FHD,115000
Acer, Nitro 5,  i5 10TH GEN ,, GTX 1650ti , 8GB RAM , 256GB SSD ,,15.6, FHD,118000
Acer, Spin 3 ,i7 10th Gen ,,, 8GB RAM , 512GB SSD ,,14,FHD 360 TouchScreen,120000
Acer, Nitro 5, AMD Ryzen 5 4600H ,, GTX 1650Ti  , 8GB RAM , 256GB SSD ,,15.6,FHD 144hz RGB Keyboard ,123000
Acer, Nitro 5, Spin i5 8TH GEN,,GTX 1050, 8GB RAM,, 1TB HDD,15.6, FHD 360 TOUCH,125000
Acer, Nitro 5, AMD Ryzen 5 4600H ,, GTX 1650ti ,  8GB RAM , 512GB SSD,,15.6, FHD 144Hz ,125000
Acer, Nitro 5, i5 10TH GEN ,,GTX 1650ti, 8GB RAM, 512GB SSD,,15.6, FHD 144Hz,129000
Acer, Nitro 5,  AMD Ryzen 7 4800H ,, GTX 1650ti,8GB RAM ,, 1TB HDD,15.6,FHD 144Hz ,137000
Acer, Nitro Spin 5, i7 8TH GEN,,GTX 1050, 8GB RAM,, 1TB HDD,15.6, FHD 360 TOUCH,143000
Acer, Nitro 5,  AMD Ryzen 7 4800H ,, GTX 1650ti,8GB RAM , 512GB SSD,,15.6, FHD 144Hz,144000
Acer, Nitro 5,  i7 10TH GEN ,, GTX 1650ti ,8GB RAM, 256GB SSD ,,15.6, FHD,145000
Acer, Nitro 5,  i5 10TH GEN ,, RTX 2060, 8GB RAM,, 1TB HDD,15.6, FHD RGB Keyboard,148000
Acer, Predator Helios  300,  i5 10th Gen ,, GTX 1660Ti ,8GB RAM , 512GB SSD  ,,15.6, FHD 144Hz ,149000
Acer, Nitro 5,  i7 10TH GEN ,, GTX 1650ti , 8GB RAM , 512GB SSD,,15.6,FHD 144Hz ,155000
Acer, Nitro Spin 5 ,i7 8TH GEN,, GTX 1050,16GB RAM, 256GB SSD,1TB HDD,15.6,FHD 360 TOUCH,158000
Acer, Nitro 5, i7 9TH GEN,,RTX 2060, 16GB RAM, 256GB SSD,,15.6, FHD 144Hz,165000
Acer, Predator Helios 300 , i7 10th Gen ,,GTX 1660Ti , 8GB RAM , 512GB SSD ,,15.6,FHD 144Hz,169000
Acer, Predator Helios 300 , i7 10th Gen ,,GTX 1660Ti , 16GB RAM , 1TB SSD ,,15.6,FHD 144Hz,190000
Acer, Predator Helios 300 , i7 10TH GEN,,RTX 2060,16GB RAM, 512GB SSD,,15.6, FHD 144Hz ,195000
Acer, Predator Triton 300,  i7 10TH GEN ,, RTX 2060 , 16GB RAM, 512GB SSD,,15.6, FHD 120Hz,205000
Acer, Predator Triton 300,  i7 10TH GEN ,, RTX 2060 , 16GB RAM, 512GB SSD ,,15.6,FHD 144Hz ,215000
Acer, Predator Helios 300 ,i7 10th Gen ,,RTX 2070, 16GB RAM , 512GB SSD ,,15.6,FHD 144Hz,235000
Acer, Predator Triton 300,  i7 10TH GEN ,, RTX 2070 , 16GB RAM, 512GB SSD,,15.6,FHD 240Hz ,235000
Acer, Predator Triton 500,  i7 10TH GEN ,, RTX 2070 , 16GB RAM, 512GB SSD,,15.6, FHD 144Hz,265000
Asus, VivoBook 15 X515MA, 10th Gen Celeron ,,, 4GB RAM , 256GB SSD ,,15.6, FHD ,48000
Asus, VivoBook E410MA ,Celeron ,,, 4GB RAM , 256GB SSD ,,14,,48000
Asus, VivoBook Flip 14 TP401MA, 8th Gen Celeron ,,, 4GB RAM , 128GB SSD ,,14,360-degree TouchScreen ,57700
Asus, VivoBook 14 X415JA, i3 10th Gen ,,, 4GB RAM, 256GB SSD ,,14,FHD ,63000
Asus, VivoBook 14 X413EA ,i3 11th Gen ,,, 4GB RAM , 256GB SSD ,,14, FHD ,67000
ASUS, VIVOBOOK X409JA, i5 10TH GEN,,, 4GB RAM, 256GB SSD,,14, FHD,75000
Asus, VivoBook Flip 14 TP412FA ,i3 10th Gen,,, 4GB RAM , 256GB SSD ,,14, FHD 360 Touch display,83000
Asus, VivoBook 14 X415JA, i5 10th Gen,, , 8GB RAM, 256GB SSD ,,14,FHD Backlit Keyboard,83000
Asus, VivoBook 15 M513IA ,Ryzen 5 4500U ,,, 8GB RAM, 256GB SSD ,,15.6, FHD ,87000
