brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price,zscore_price
acer,Aspire 5,I5G10,144.0,Intel UHD,16.0,256.0,0.0,16.0,fhd,84000,-0.9712855277222531
acer,Aspire 5,I5G10,60.0,Intel UHD,8.0,512.0,0.0,16.0,hd,90000,-0.8810118940927193
acer,Swift 3,I5G10,144.0,MX350,8.0,256.0,0.0,14.0,fhd,89000,-0.8960574996976416
acer,Swift 3,I5G10,144.0,MX350,8.0,512.0,0.0,14.0,fhd,93000,-0.8358750772779524
acer,Swift 3,I7G10,144.0,MX350,8.0,512.0,0.0,14.0,fhd,115990,-0.48997660442078866
acer,Swift 3,ryzen5,144.0,Vega 8,8.0,256.0,0.0,14.0,fhd,95000,-0.8057838660681078
acer,Nitro 5,I5G10,144.0,GTX 1650 Ti,8.0,0.0,1024.0,16.0,fhd,115000,-0.5048717539696618
acer,Nitro 5,I5G10,144.0,GTX 1650 Ti,8.0,256.0,0.0,16.0,fhd,118000,-0.45973493715489483
acer,Nitro 5,I5G10,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,125000,-0.3544156979204387
acer,Nitro 5,I5G10,144.0,RTX 2060,8.0,0.0,1024.0,16.0,fhd,140000,-0.12873161384660417
acer,Nitro 5,I7G10,144.0,GTX 1650 Ti,8.0,256.0,0.0,16.0,fhd,145000,-0.05350358582199265
acer,Nitro 5,I7G10,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,155000,0.09695247022723039
acer,Nitro 5,ryzen5,144.0,GTX 1650 Ti,8.0,0.0,1024.0,16.0,fhd,126000,-0.3393700923155164
acer,Nitro 5,ryzen5,144.0,GTX 1650 Ti,8.0,256.0,0.0,16.0,fhd,123000,-0.3845069091302833
acer,Nitro 5,ryzen,144.0,GTX 1650 Ti,8.0,0.0,1024.0,16.0,fhd,137000,-0.17386843066137106
acer,Nitro 5,I7,144.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,144000,-0.06854919142691496
acer,Predator Helios,I5G10,144.0,GTX 1660 Ti,8.0,512.0,0.0,16.0,fhd,149000,0.006678836597696563
acer,Predator Helios,I5G10,144.0,GTX 1660 Ti,8.0,512.0,0.0,16.0,fhd,169000,0.3075909486961426
acer,Predator Helios,I7G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,190000,0.623548666399511
acer,Predator Helios,I7G10,144.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,182000,0.5031838215601325
acer,Predator Helios,I7G10,144.0,RTX 2070,16.0,512.0,0.0,16.0,fhd,235000,1.3006009186210146
acer,Predator Triton,I7G10,144.0,RTX 2070,16.0,512.0,0.0,16.0,fhd,214000,0.9846432009176462
acer,Predator Triton,I7G10,144.0,RTX 2070,16.0,512.0,0.0,16.0,fhd,265000,1.7519690867686837
asus,VivoBook 14,celeron,60.0,Intel UHD,4.0,256.0,0.0,14.0,hd,48000,-1.512927329499456
asus,VivoBook 14,I5G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,83000,-0.9863311333271754
asus,VivoBook 15,celeron,144.0,Intel UHD,4.0,256.0,0.0,16.0,fhd,48000,-1.512927329499456
asus,VivoBook 15,ryzen5,144.0,Radeon graphics,8.0,256.0,0.0,16.0,fhd,87000,-0.9261487109074862
asus,VivoBook 15,I5G10,144.0,Intel UHD,8.0,512.0,0.0,16.0,fhd,88000,-0.9111031053025639
asus,VivoBook 15,I7G10,144.0,MX330,8.0,1024.0,0.0,16.0,fhd,116000,-0.4898261483647394
asus,VivoBook K403FA,I5G10,144.0,Intel UHD,8.0,512.0,0.0,14.0,fhd,106000,-0.6402822044139624
asus,VivoBook K403JA,I5G10,144.0,Intel UHD,8.0,512.0,0.0,14.0,fhd,106666,-0.6302618310810842
