brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
acer,Aspire 5,Core i5-1035G1,,Intel UHD,16,256,,15.6,FHD,84000
acer,Aspire 5,Core i5-1035G1,,Intel UHD,8,512,,15.6,HD,90000
acer,Swift 3,Core i5-1035G1,,MX350,8,256,,14,FHD,89000
acer,Swift 3,Core i5-1035G1,,MX350,8,512,,14,FHD,93000
acer,Swift 3,Core i7-1065G7,,MX350,8,512,,14,FHD,115990
acer,Swift 3,Ryzen 5 4500U,,Vega 8,8,256,,14,FHD,95000
acer,Nitro 5,Core i5-10300H,,GTX 1650 Ti,8,,1024,15.6,FHD,115000
acer,Nitro 5,Core i5-10300H,,GTX 1650 Ti,8,256,,15.6,FHD,118000
acer,Nitro 5,Core i5-10300H,144,GTX 1650 Ti,8,512,,15.6,FHD,125000
acer,Nitro 5,Core i5-10300H,,RTX 2060,8,,1024,15.6,FHD,140000
acer,Nitro 5,Core i7-10750H,144,GTX 1650 Ti,8,256,,15.6,FHD,145000
acer,Nitro 5,Core i7-10750H,144,GTX 1650 Ti,8,512,,15.6,FHD,155000
acer,Nitro 5,Ryzen 5 4600H,,GTX 1650 Ti,8,,1024,15.6,FHD,126000
acer,Nitro 5,Ryzen 5 4600H,,GTX 1650 Ti,8,256,,15.6,FHD,123000
acer,Nitro 5,Ryzen 4800H,144,GTX 1650 Ti,8,,1024,15.6,FHD,137000
acer,Nitro 5,Ryzen 7 4800H,144,GTX 1650 Ti,8,512,,15.6,FHD,144000
acer,Predator Helios,Core i5-10300H,144,GTX 1660 Ti,8,512,,15.6,FHD,149000
acer,Predator Helios,Core i5-10300H,144,GTX 1660 Ti,8,512,,15.6,FHD,169000
acer,Predator Helios,Core i7-10750H,144,GTX 1660 Ti,16,512,,15.6,FHD,190000
acer,Predator Helios,Core i7-10750H,144,RTX 2060,16,512,,15.6,FHD,182000
acer,Predator Helios,Core i7-10750H,144,RTX 2070,16,512,,15.6,FHD,235000
acer,Predator Triton,Core i7-10750H,144,RTX 2070,16,512,,15.6,FHD,214000
acer,Predator Triton,Core i7-10750H,144,RTX 2070,16,512,,15.6,FHD,265000
asus,VivoBook 14,Celeron N4020,,Intel UHD,4,256,,14,HD,48000
asus,VivoBook 14,Core i5-1035G1,,Intel UHD,8,256,,14,FHD,83000
asus,VivoBook 15,Celeron N4020,,Intel UHD,4,256,,15.6,FHD,48000
asus,VivoBook 15,Ryzen 5 4500U,,Radeon graphics,8,256,,15.6,FHD,87000
asus,VivoBook 15,Core i5-1035G1,,Intel UHD,8,512,,15.6,FHD,88000
asus,VivoBook 15,Core i7-1065G7,,MX330,8,1024,,15.6,FHD,116000
asus,VivoBook K403FA,Core i5-10210U,,Intel UHD,8,512,,14,FHD,106000
asus,VivoBook K403JA,Core i5-1035G1,,Intel UHD,8,512,,14,FHD,106666
asus,VivoBook K403JA,Core i7-1065G7,,Intel UHD,16,512,,14,FHD,131111
asus,VivoBook Flip,Core i3-10110U,,Intel UHD,4,256,,14,FHD,83000
asus,VivoBook Flip,Ryzen 4500U,,Radeon Graphics,8,512,,14,FHD,108000
asus,VivoBook Flip,Ryzen 5500U,,Radeon Graphics,8,512,,14,FHD,116000
asus,VivoBook S15,Core i7-10510U,,MX250,8,512,,15.6,FHD,128888
