,brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
0,acer,Aspire 5,I5,144,inteluhd,16,256,0,16,fhd,84000
1,acer,Aspire 5,I5,60,inteluhd,8,512,0,16,hd,90000
2,acer,Swift 3,I5,144,nvidiageforcemx350,8,256,0,14,fhd,89000
3,acer,Swift 3,I5,144,nvidiageforcemx350,8,512,0,14,fhd,93000
4,acer,Swift 3,I7,144,nvidiageforcemx350,8,512,0,14,fhd,115990
5,acer,Swift 3,ry,144,amdradeonvega8,8,256,0,14,fhd,95000
6,acer,Nitro 5,I5,144,nvidiageforcegtx1650,8,0,1024,16,fhd,115000
7,acer,Nitro 5,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,118000
8,acer,Nitro 5,I5,144,nvidiageforcegtx1650,8,512,0,16,fhd,125000
9,acer,Nitro 5,I5,144,nvidiageforcertx2060,8,0,1024,16,fhd,140000
10,acer,Nitro 5,I7,144,nvidiageforcegtx1650,8,256,0,16,fhd,145000
11,acer,Nitro 5,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,155000
12,acer,Nitro 5,ry,144,nvidiageforcegtx1650,8,0,1024,16,fhd,126000
13,acer,Nitro 5,ry,144,nvidiageforcegtx1650,8,256,0,16,fhd,123000
14,acer,Nitro 5,ry,144,nvidiageforcegtx1650,8,0,1024,16,fhd,137000
15,acer,Nitro 5,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,144000
16,acer,Predator,I5,144,nvidiageforcegtx1660,8,512,0,16,fhd,149000
17,acer,Predator,I5,144,nvidiageforcegtx1660,8,512,0,16,fhd,169000
18,acer,Predator,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,190000
19,acer,Predator,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,182000
20,acer,Predator,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,235000
21,acer,Predator,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,214000
22,acer,Predator,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,265000
23,asus,VivoBook,ce,60,inteluhd,4,256,0,14,hd,48000
24,asus,VivoBook,I5,144,inteluhd,8,256,0,14,fhd,83000
25,asus,VivoBook,ce,144,inteluhd,4,256,0,16,fhd,48000
26,asus,VivoBook,ry,144,amdradeon,8,256,0,16,fhd,87000
27,asus,VivoBook,I5,144,inteluhd,8,512,0,16,fhd,88000
28,asus,VivoBook,I7,144,nvidiageforcemx330,8,1024,0,16,fhd,116000
29,asus,VivoBook,I5,144,inteluhd,8,512,0,14,fhd,106000
30,asus,VivoBook,I5,144,inteluhd,8,512,0,14,fhd,106666
31,asus,VivoBook,I7,144,inteluhd,16,512,0,14,fhd,131111
32,asus,VivoBook,I3,144,inteluhd,4,256,0,14,fhd,83000
33,asus,VivoBook,ry,144,amdradeon,8,512,0,14,fhd,108000
34,asus,VivoBook,ry,144,amdradeon,8,512,0,14,fhd,116000
35,asus,VivoBook,I7,144,nvidiageforcemx250,8,512,0,16,fhd,128888
36,asus,VivoBook,I7,144,nvidiageforcemx350,16,512,0,16,fhd,141111
37,asus,ZenBook ,I5,144,inteluhd,8,512,0,13,fhd,125000
38,asus,ZenBook ,I7,144,inteliris,16,512,0,13,fhd,148000
39,asus,ZenBook ,I5,144,inteliris,8,512,0,13,fhd,133000
40,asus,ZenBook ,I7,144,inteliris,16,512,0,13,fhd,154000
41,asus,ZenBook ,I5,144,inteluhd,8,512,0,14,fhd,142000
42,asus,ZenBook ,I5,144,inteluhd,8,512,0,14,fhd,125000
43,asus,ZenBook ,I5,144,inteliris,8,512,0,14,fhd,133000
44,asus,ZenBook ,I5,144,nvidiageforcemx,8,512,0,14,fhd,153000
45,asus,ZenBook ,I7,144,nvidiageforcemx,16,512,0,14,fhd,176000
46,asus,ZenBook ,I7,144,inteliris,16,512,0,14,fhd,154000
47,asus,ZenBook ,I7,144,nvidiageforcegtx,16,1024,0,16,fhd,207000
48,asus,ZenBook ,I5,144,inteluhd,8,512,0,14,fhd,134000
49,asus,ZenBook ,I5,144,inteliris,8,512,0,13,fhd,128000
50,asus,ZenBook ,I7,144,inteliris,16,512,0,13,fhd,176000
51,asus,ZenBook ,I7,144,nvidiageforcemx,16,1024,0,14,fhd,215000
52,asus,TUF F15 ,I5,144,nvidiageforcegtx1650,8,512,0,16,fhd,120000
53,asus,TUF F15 ,I5,144,nvidiageforcegtx1650,16,512,0,16,fhd,125000
54,asus,TUF F15 ,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,183333
55,asus,TUF F15 ,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,148000
56,asus,TUF F15 ,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,157777
57,asus,TUF Dash,I5,144,nvidiageforcertx3060,8,512,0,16,fhd,183000
58,asus,TUF Dash,I7,144,nvidiageforcertx3060,8,512,0,16,fhd,215000
59,asus,TUF Dash,I7,240,nvidiageforcertx3070,16,1024,0,16,fhd,183000
60,asus,TUF A15 ,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,152000
61,asus,TUF A15 ,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,161000
62,asus,ROG Stri,I5,144,nvidiageforcegtx1650,16,512,0,16,fhd,148000
63,asus,ROG Stri,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,168800
64,asus,ROG Stri,ry,300,nvidiageforcertx3080,16,1024,0,16,fhd,410000
65,asus,Zephyrus,I7,120,nvidiageforcegtx1660,16,512,0,14,fhd,200000
66,dell,Inspiron,I3,60,inteluhd,4,0,1024,16,hd,58750
67,dell,Inspiron,I5,144,nvidiageforcemx330,4,0,1024,16,fhd,86235
68,dell,Inspiron,I5,144,inteluhd,8,256,0,13,fhd,102000
69,dell,Inspiron,I5,144,inteluhd,8,256,0,13,fhd,103000
70,dell,Inspiron,I5,144,nvidiageforcemx350,8,512,0,13,fhd,126270
71,dell,Inspiron,I7,144,nvidiageforcemx350,8,512,0,13,fhd,140490
72,dell,Inspiron,I5,144,intelirisxe,8,512,0,14,fhd,126380
73,dell,Inspiron,I5,144,nvidiageforcemx230,8,512,0,14,fhd,135835
74,dell,Inspiron,I7,144,nvidiageforcemx230,8,512,0,14,fhd,154455
75,dell,Inspiron,I7,144,inteluhd,8,256,0,16,fhd,120000
76,dell,Inspiron,I7,144,amdradeon,8,512,0,16,fhd,113905
77,dell,Inspiron,I5,144,nvidiageforcemx230,8,512,0,16,fhd,95000
78,dell,Inspiron,I5,144,inteliris,8,512,0,13,fhd,161405
79,dell,Inspiron,I7,144,inteliris,16,512,0,13,4k,189905
