brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
acer,Aspire 5,I5G10,,Intel UHD,16,256,,16,fhd,84000
acer,Aspire 5,I5G10,,Intel UHD,8,512,,16,hd,90000
acer,Swift 3,I5G10,,MX350,8,256,,14,fhd,89000
acer,Swift 3,I5G10,,MX350,8,512,,14,fhd,93000
acer,Swift 3,I7G10,,MX350,8,512,,14,fhd,115990
acer,Swift 3,ryzen5,,Vega 8,8,256,,14,fhd,95000
acer,Nitro 5,I5G10,,GTX 1650 Ti,8,,1024,16,fhd,115000
acer,Nitro 5,I5G10,,GTX 1650 Ti,8,256,,16,fhd,118000
acer,Nitro 5,I5G10,144,GTX 1650 Ti,8,512,,16,fhd,125000
acer,Nitro 5,I5G10,,RTX 2060,8,,1024,16,fhd,140000
acer,Nitro 5,I7G10,144,GTX 1650 Ti,8,256,,16,fhd,145000
acer,Nitro 5,I7G10,144,GTX 1650 Ti,8,512,,16,fhd,155000
acer,Nitro 5,ryzen5,,GTX 1650 Ti,8,,1024,16,fhd,126000
acer,Nitro 5,ryzen5,,GTX 1650 Ti,8,256,,16,fhd,123000
acer,Nitro 5,ryzen,144,GTX 1650 Ti,8,,1024,16,fhd,137000
acer,Nitro 5,I7,144,GTX 1650 Ti,8,512,,16,fhd,144000
acer,Predator Helios,I5G10,144,GTX 1660 Ti,8,512,,16,fhd,149000
acer,Predator Helios,I5G10,144,GTX 1660 Ti,8,512,,16,fhd,169000
acer,Predator Helios,I7G10,144,GTX 1660 Ti,16,512,,16,fhd,190000
acer,Predator Helios,I7G10,144,RTX 2060,16,512,,16,fhd,182000
acer,Predator Helios,I7G10,144,RTX 2070,16,512,,16,fhd,235000
acer,Predator Triton,I7G10,144,RTX 2070,16,512,,16,fhd,214000
acer,Predator Triton,I7G10,144,RTX 2070,16,512,,16,fhd,265000
asus,VivoBook 14,celeron,,Intel UHD,4,256,,14,hd,48000
asus,VivoBook 14,I5G10,,Intel UHD,8,256,,14,fhd,83000
asus,VivoBook 15,celeron,,Intel UHD,4,256,,16,fhd,48000
asus,VivoBook 15,ryzen5,,Radeon graphics,8,256,,16,fhd,87000
asus,VivoBook 15,I5G10,,Intel UHD,8,512,,16,fhd,88000
asus,VivoBook 15,I7G10,,MX330,8,1024,,16,fhd,116000
asus,VivoBook K403FA,I5G10,,Intel UHD,8,512,,14,fhd,106000
asus,VivoBook K403JA,I5G10,,Intel UHD,8,512,,14,fhd,106666
asus,VivoBook K403JA,I7G10,,Intel UHD,16,512,,14,fhd,131111
asus,VivoBook Flip,I3G10,,Intel UHD,4,256,,14,fhd,83000
asus,VivoBook Flip,ryzen5,,Radeon Graphics,8,512,,14,fhd,108000
asus,VivoBook Flip,ryzen5,,Radeon Graphics,8,512,,14,fhd,116000
asus,VivoBook S15,I7G10,,MX250,8,512,,16,fhd,128888
asus,VivoBook S15,I7G10,,MX350,16,512,,16,fhd,141111
asus,ZenBook 13 UX325JA,I5G10,,Intel UHD,8,512,,13,fhd,125000
asus,ZenBook 13 UX325JA,I7G10,,Intel Iris Plus,16,512,,13,fhd,148000
asus,ZenBook 13 UX325EA,I5G11,,Intel Iris Xe,8,512,,13,fhd,133000
asus,ZenBook 13 UX325EA,I7G11,,Intel Iris Plus,16,512,,13,fhd,154000
asus,ZenBook 14 UX434FQ,I5G10,,Intel UHD,8,512,,14,fhd,142000
asus,ZenBook 14 UX425JA,I5G10,,Intel UHD,8,512,,14,fhd,125000
asus,ZenBook 14 UX425EA,I5G11,,Intel Iris Xe,8,512,,14,fhd,133000
asus,ZenBook 14 UX435EG,I5G11,,GeForce MX450,8,512,,14,fhd,153000
asus,ZenBook 14 UX435EG,I7G11,,GeForce MX450,16,512,,14,fhd,176000
asus,ZenBook 14 UX425EA,I7G11,,Intel Iris Plus,16,512,,14,fhd,154000
asus,ZenBook 15 UX534FTC,I7G10,,GeForce GTX 1650,16,1024,,16,fhd,207000
asus,ZenBook Flip 14 UX463FA,I5G10,,Intel UHD,8,512,,14,fhd,134000
asus,ZenBook Flip 13 UX363FA,I5G10,,Intel Iris Plus,8,512,,13,fhd,128000
asus,ZenBook Flip 13 UX363EA,I7G10,,Intel Iris Plus,16,512,,13,fhd,176000
asus,ZenBook Duo UX481,I7G10,,GeForce MX250,16,1024,,14,fhd,215000
asus,TUF F15 FX506LI,I5G10,144,GTX 1650 Ti,8,512,,16,fhd,120000
asus,TUF F15 FX506LI,I5G10,144,GTX 1650 Ti,16,512,,16,fhd,125000
asus,TUF F15 FX506LU,I7G10,144,GTX 1660 Ti,16,512,,16,fhd,183333
