,refreshrate,ram,ssd,rom,display,price,brandname_encoded,model_encoded,cpucore_I3,cpucore_I5,cpucore_I7,cpucore_I9,cpucore_ce,cpucore_m1,cpucore_pe,cpucore_ry,gpu_encoded,displayquality_4k,displayquality_4k_touch,displayquality_WQXGA,displayquality_fhd,displayquality_fhd_touch,displayquality_hd,displayquality_ips,displayquality_qhd,displayquality_retina,displayquality_uhd
0,144,16,256,0,16,84000,0,21,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
1,60,8,512,0,16,90000,0,21,0,1,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0
2,144,8,256,0,14,89000,0,129,0,1,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
3,144,8,512,0,14,93000,0,129,0,1,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
4,144,8,512,0,14,115990,0,129,0,0,1,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
5,144,8,256,0,14,95000,0,129,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0
6,144,8,0,1024,16,115000,0,87,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
7,144,8,256,0,16,118000,0,87,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
8,144,8,512,0,16,125000,0,87,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
9,144,8,0,1024,16,140000,0,87,0,1,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0
10,144,8,256,0,16,145000,0,87,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
11,144,8,512,0,16,155000,0,87,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
12,144,8,0,1024,16,126000,0,87,0,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
13,144,8,256,0,16,123000,0,87,0,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
14,144,8,0,1024,16,137000,0,87,0,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0
15,144,8,512,0,16,144000,0,87,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
16,144,8,512,0,16,149000,0,102,0,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
17,144,8,512,0,16,169000,0,102,0,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
18,144,16,512,0,16,190000,0,102,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
19,144,16,512,0,16,182000,0,102,0,0,1,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0
20,144,16,512,0,16,235000,0,102,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
21,144,16,512,0,16,214000,0,102,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
22,144,16,512,0,16,265000,0,102,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
23,60,4,256,0,14,48000,2,144,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0
24,144,8,256,0,14,83000,2,144,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
25,144,4,256,0,16,48000,2,144,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0
26,144,8,256,0,16,87000,2,144,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0
27,144,8,512,0,16,88000,2,144,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
28,144,8,1024,0,16,116000,2,144,0,0,1,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0
29,144,8,512,0,14,106000,2,144,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
30,144,8,512,0,14,106666,2,144,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
31,144,16,512,0,14,131111,2,144,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
32,144,4,256,0,14,83000,2,144,1,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
33,144,8,512,0,14,108000,2,144,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0
34,144,8,512,0,14,116000,2,144,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0
35,144,8,512,0,16,128888,2,144,0,0,1,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0
36,144,16,512,0,16,141111,2,144,0,0,1,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
37,144,8,512,0,13,125000,2,155,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
38,144,16,512,0,13,148000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
39,144,8,512,0,13,133000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
40,144,16,512,0,13,154000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
41,144,8,512,0,14,142000,2,155,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
42,144,8,512,0,14,125000,2,155,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
43,144,8,512,0,14,133000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
44,144,8,512,0,14,153000,2,155,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
45,144,16,512,0,14,176000,2,155,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
46,144,16,512,0,14,154000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
47,144,16,1024,0,16,207000,2,155,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0
48,144,8,512,0,14,134000,2,155,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
49,144,8,512,0,13,128000,2,155,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
50,144,16,512,0,13,176000,2,155,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
51,144,16,1024,0,14,215000,2,155,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0
52,144,8,512,0,16,120000,2,135,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
53,144,16,512,0,16,125000,2,135,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
54,144,16,512,0,16,183333,2,135,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
55,144,8,512,0,16,148000,2,135,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
56,144,16,512,0,16,157777,2,135,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
57,144,8,512,0,16,183000,2,134,0,1,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0
58,144,8,512,0,16,215000,2,134,0,0,1,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0
59,240,16,1024,0,16,183000,2,134,0,0,1,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0
60,144,16,512,0,16,152000,2,133,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
