brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
acer,Aspir,I5,144,inteluhd,16,256,0,16,fhd,84000
acer,Aspir,I5,60,inteluhd,8,512,0,16,hd,90000
acer,Swift,I5,144,nvidiageforcemx350,8,256,0,14,fhd,89000
acer,Swift,I5,144,nvidiageforcemx350,8,512,0,14,fhd,93000
acer,Swift,I7,144,nvidiageforcemx350,8,512,0,14,fhd,115990
acer,Swift,ry,144,amdradeonvega8,8,256,0,14,fhd,95000
acer,Nitro,I5,144,nvidiageforcegtx1650,8,0,1024,16,fhd,115000
acer,Nitro,I5,144,nvidiageforcegtx1650,8,256,0,16,fhd,118000
acer,Nitro,I5,144,nvidiageforcegtx1650,8,512,0,16,fhd,125000
acer,Nitro,I5,144,nvidiageforcertx2060,8,0,1024,16,fhd,140000
acer,Nitro,I7,144,nvidiageforcegtx1650,8,256,0,16,fhd,145000
acer,Nitro,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,155000
acer,Nitro,ry,144,nvidiageforcegtx1650,8,0,1024,16,fhd,126000
acer,Nitro,ry,144,nvidiageforcegtx1650,8,256,0,16,fhd,123000
acer,Nitro,ry,144,nvidiageforcegtx1650,8,0,1024,16,fhd,137000
acer,Nitro,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,144000
acer,Preda,I5,144,nvidiageforcegtx1660,8,512,0,16,fhd,149000
acer,Preda,I5,144,nvidiageforcegtx1660,8,512,0,16,fhd,169000
acer,Preda,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,190000
acer,Preda,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,182000
acer,Preda,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,235000
acer,Preda,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,214000
acer,Preda,I7,144,nvidiageforcertx2070,16,512,0,16,fhd,265000
asus,VivoB,ce,60,inteluhd,4,256,0,14,hd,48000
asus,VivoB,I5,144,inteluhd,8,256,0,14,fhd,83000
asus,VivoB,ce,144,inteluhd,4,256,0,16,fhd,48000
asus,VivoB,ry,144,amdradeon,8,256,0,16,fhd,87000
asus,VivoB,I5,144,inteluhd,8,512,0,16,fhd,88000
asus,VivoB,I7,144,nvidiageforcemx330,8,1024,0,16,fhd,116000
asus,VivoB,I5,144,inteluhd,8,512,0,14,fhd,106000
asus,VivoB,I5,144,inteluhd,8,512,0,14,fhd,106666
asus,VivoB,I7,144,inteluhd,16,512,0,14,fhd,131111
asus,VivoB,I3,144,inteluhd,4,256,0,14,fhd,83000
asus,VivoB,ry,144,amdradeon,8,512,0,14,fhd,108000
asus,VivoB,ry,144,amdradeon,8,512,0,14,fhd,116000
asus,VivoB,I7,144,nvidiageforcemx250,8,512,0,16,fhd,128888
asus,VivoB,I7,144,nvidiageforcemx350,16,512,0,16,fhd,141111
asus,ZenBo,I5,144,inteluhd,8,512,0,13,fhd,125000
asus,ZenBo,I7,144,inteliris,16,512,0,13,fhd,148000
asus,ZenBo,I5,144,inteliris,8,512,0,13,fhd,133000
asus,ZenBo,I7,144,inteliris,16,512,0,13,fhd,154000
asus,ZenBo,I5,144,inteluhd,8,512,0,14,fhd,142000
asus,ZenBo,I5,144,inteluhd,8,512,0,14,fhd,125000
asus,ZenBo,I5,144,inteliris,8,512,0,14,fhd,133000
asus,ZenBo,I5,144,nvidiageforcemx,8,512,0,14,fhd,153000
asus,ZenBo,I7,144,nvidiageforcemx,16,512,0,14,fhd,176000
asus,ZenBo,I7,144,inteliris,16,512,0,14,fhd,154000
asus,ZenBo,I7,144,nvidiageforcegtx,16,1024,0,16,fhd,207000
asus,ZenBo,I5,144,inteluhd,8,512,0,14,fhd,134000
asus,ZenBo,I5,144,inteliris,8,512,0,13,fhd,128000
asus,ZenBo,I7,144,inteliris,16,512,0,13,fhd,176000
asus,ZenBo,I7,144,nvidiageforcemx,16,1024,0,14,fhd,215000
asus,TUF F,I5,144,nvidiageforcegtx1650,8,512,0,16,fhd,120000
asus,TUF F,I5,144,nvidiageforcegtx1650,16,512,0,16,fhd,125000
asus,TUF F,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,183333
asus,TUF F,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,148000
asus,TUF F,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,157777
asus,TUF D,I5,144,nvidiageforcertx3060,8,512,0,16,fhd,183000
asus,TUF D,I7,144,nvidiageforcertx3060,8,512,0,16,fhd,215000
asus,TUF D,I7,240,nvidiageforcertx3070,16,1024,0,16,fhd,183000
asus,TUF A,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,152000
asus,TUF A,I7,144,nvidiageforcegtx1660,16,512,0,16,fhd,161000
asus,ROG S,I5,144,nvidiageforcegtx1650,16,512,0,16,fhd,148000
asus,ROG S,I7,144,nvidiageforcegtx1650,16,512,0,16,fhd,168800
asus,ROG S,ry,300,nvidiageforcertx3080,16,1024,0,16,fhd,410000
asus,Zephy,I7,120,nvidiageforcegtx1660,16,512,0,14,fhd,200000
dell,Inspi,I3,60,inteluhd,4,0,1024,16,hd,58750
dell,Inspi,I5,144,nvidiageforcemx330,4,0,1024,16,fhd,86235
dell,Inspi,I5,144,inteluhd,8,256,0,13,fhd,102000
dell,Inspi,I5,144,inteluhd,8,256,0,13,fhd,103000
dell,Inspi,I5,144,nvidiageforcemx350,8,512,0,13,fhd,126270
dell,Inspi,I7,144,nvidiageforcemx350,8,512,0,13,fhd,140490
dell,Inspi,I5,144,intelirisxe,8,512,0,14,fhd,126380
dell,Inspi,I5,144,nvidiageforcemx230,8,512,0,14,fhd,135835
dell,Inspi,I7,144,nvidiageforcemx230,8,512,0,14,fhd,154455
dell,Inspi,I7,144,inteluhd,8,256,0,16,fhd,120000
dell,Inspi,I7,144,amdradeon,8,512,0,16,fhd,113905
dell,Inspi,I5,144,nvidiageforcemx230,8,512,0,16,fhd,95000
dell,Inspi,I5,144,inteliris,8,512,0,13,fhd,161405
dell,Inspi,I7,144,inteliris,16,512,0,13,4k,189905
dell,Inspi,I5,144,inteliris,8,256,0,13,fhd,118000
dell,Inspi,I5,144,inteliris,8,512,0,13,4k,120000
dell,Inspi,I7,144,inteliris,8,256,0,13,fhd,148000
dell,Inspi,I7,144,inteliris,16,512,0,13,4k,157000
dell,Inspi,I5,144,inteliris,8,256,0,14,fhd,118000
dell,Inspi,I7,144,inteliris,8,512,0,14,fhd,120000
dell,Inspi,I7,144,inteliris,8,256,0,14,fhd,125000
dell,Inspi,I5,144,inteliris,8,512,0,14,fhd,125000
dell,Inspi,I7,144,inteliris,16,512,0,14,fhd,156000
dell,Inspi,I7,144,inteliris,16,1024,0,16,fhd,175000
dell,G3 G3,I5,144,nvidiageforcegtx1650,8,512,0,16,fhd,125000
dell,G3 G3,I5,144,nvidiageforcegtx1660,16,512,0,16,fhd,135000
dell,G5 15,I7,144,nvidiageforcertx2070,8,512,0,16,fhd,205105
dell,G5 15,I7,144,nvidiageforcertx2070,16,1024,0,16,fhd,242250
dell,G5 15,I7,144,amdradeonrx,8,512,0,16,fhd,152800
dell,G5 15,I7,144,amdradeonrx,8,512,0,16,fhd,158000
dell,G5 15,I7,144,amdradeonrx,16,512,0,16,fhd,158800
dell,G7 75,I7,144,nvidiageforcertx2060,16,512,0,16,fhd,237500
dell,Alien,I7,300,nvidiageforcertx2070,16,512,0,16,fhd,310000
dell,Vostr,I3,60,inteluhd,4,0,1024,14,hd,60000
dell,Vostr,I5,144,inteliris,4,0,1024,14,fhd,77500
dell,Vostr,I3,60,inteluhd,4,0,1024,14,hd,57500
dell,Vostr,I3,144,inteluhd,4,0,1024,14,fhd,60040
dell,Vostr,I7,144,nvidiageforcemx330,8,512,0,16,fhd,112000
dell,Vostr,I5,144,inteliris,4,0,1024,16,fhd,77501
dell,Vostr,I5,60,inteliris,8,256,0,14,hd,85000
dell,Vostr,I5,60,nvidia,8,256,0,14,hd,90000
dell,Vostr,I3,60,inteluhd,4,0,1024,14,hd,57500
dell,Latit,I5,60,inteluhd,4,0,1024,14,hd,82500
dell,XPS 1,I5,144,inteluhd,8,256,0,13,fhd,140000
dell,XPS 1,I5,144,inteluhd,8,256,0,13,fhd,144800
dell,XPS 1,I7,144,inteluhd,16,512,0,13,fhd,200000
dell,XPS 1,I5,144,intelirisxe,8,512,0,13,fhd,214740
dell,XPS 1,I5,144,intelirisxe,8,256,0,13,fhd,228050
dell,XPS 1,I5,144,intelirisxe,16,512,0,13,fhd,308850
dell,XPS 1,I7,144,intelirisxe,16,512,0,13,4k,210800
dell,XPS 1,I5,144,inteluhd,8,512,0,16,fhd,174800
dell,XPS 1,I7,144,nvidiageforcegtx1650,16,512,0,16,4k,258800
dell,XPS 1,I7,144,nvidiageforcegtx1650,16,512,0,16,4k,268800
hp,hp La,I3,144,inteluhd,8,0,0,14,fhd,61990
hp,hp La,I5,60,inteluhd,8,0,0,14,hd,78990
hp,hp La,I3,60,inteluhd,8,0,0,16,hd,64990
hp,hp La,I3,60,inteluhd,8,0,0,14,hd,64800
hp,hp La,I5,60,amdradeon,4,0,0,14,hd,79990
hp,hp La,I5,60,amdradeon,8,128,1024,14,hd,86990
hp,hp La,I7,60,inteliris,8,256,0,16,hd,99990
hp,Noteb,I3,144,inteluhd,8,256,0,14,fhd,63000
hp,Noteb,I3,144,inteluhd,4,512,0,14,fhd,68500
hp,Noteb,I5,144,nvidiageforcemx130,4,0,1024,14,fhd,89000
hp,Pavil,I5,144,inteluhd,8,256,0,14,fhd,110000
hp,Pavil,I5,144,intelirisxe,8,512,0,14,fhd,115000
hp,Pavil,ry,144,amdradeon,8,512,0,16,fhd,99990
hp,Pavil,ry,144,nvidiageforcegtx1650,8,256,0,16,fhd,108000
hp,Pavil,ry,144,nvidiageforcegtx1650,4,256,0,16,fhd,106800
hp,Pavil,I5,144,nvidiageforcegtx1660,8,512,0,16,fhd,134800
hp,Pavil,I7,144,nvidiageforcegtx1650,8,512,0,16,fhd,146800
hp,Envy ,I5,144,intelirisxe,8,256,0,13,fhd,114990
hp,Envy ,I5,144,intelirisxe,8,256,0,13,fhd,120000
hp,Envy ,I7,144,intelirisplus,8,512,0,13,4k,148000
hp,Envy ,I7,144,intelirisxe,8,512,0,13,fhd,140000
hp,hp Om,I7,144,nvidiageforcegtx1660,8,512,0,16,fhd,160000
hp,hp Om,I7,144,nvidiageforcegtx1660,16,1024,0,16,fhd,175000
hp,hp Sp,I5,144,intelirisplus,8,256,0,13,fhd,142000
hp,hp Sp,I7,144,intelirisplus,8,512,0,13,fhd,185000
hp,hp Sp,I7,144,nvidiageforcemx250,16,512,0,16,4k,225000
lenovo,V14-I,I5,60,inteluhd,4,0,1024,14,hd,82000
lenovo,IdeaP,I3,60,inteluhd,4,0,1024,14,hd,59800
lenovo,IdeaP,I7,60,inteluhd,8,256,0,13,hd,119990
lenovo,IdeaP,I7,60,inteluhd,16,512,0,13,hd,129990
lenovo,IdeaP,I5,144,inteluhd,8,512,0,14,fhd,75990
lenovo,IdeaP,I5,144,inteluhd,8,256,0,14,fhd,85000
lenovo,IdeaP,ry,144,amdradeon,4,256,0,14,fhd,74000
lenovo,IdeaP,I7,144,nvidiageforcemx350,16,512,0,14,fhd,134990
lenovo,IdeaP,I7,144,nvidiageforcegtx1650,8,256,1024,16,fhd,139000
lenovo,IdeaP,I7,144,nvidiageforcegtx1650,16,256,1024,16,fhd,152000
lenovo,Flex ,ry,144,amdradeon,16,256,0,14,fhd,110000
lenovo,Flex ,I7,144,inteluhd,8,512,0,14,fhd,124990
lenovo,Flex ,ry,144,amdradeon,16,256,0,14,fhd,118000
lenovo,Yoga ,I5,144,inteluhd,8,256,0,14,fhd,105000
lenovo,Yoga ,I7,144,intelirisplus,8,512,0,13,fhd,169000
lenovo,Yoga ,I5,144,intelirisxe,8,256,0,16,fhd,115000
lenovo,Yoga ,I5,60,inteluhd,8,512,0,13,hd,145000
lenovo,Yoga ,I5,144,intelirisxe,8,256,0,16,fhd,115000
lenovo,Yoga ,I7,144,intelirisxe,12,512,0,14,fhd,135000
lenovo,Yoga ,I7,144,intelirisxe,16,1024,0,13,WQXGA,185000
lenovo,Yoga ,I7,144,intelirisxe,16,512,0,14,fhd_touch,198000
lenovo,Think,I5,144,inteluhd,8,0,1024,14,fhd,108800
lenovo,Think,I7,144,inteluhd,8,256,0,14,fhd,138800
lenovo,Think,I5,144,inteluhd,8,256,0,13,fhd,135000
