brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
acer,Aspire 5,I5,144,Intel UHD,16,256,0,16,fhd,84000
acer,Aspire 5,I5,60,Intel UHD,8,512,0,16,hd,90000
acer,Swift 3,I5,144,MX350,8,256,0,14,fhd,89000
acer,Swift 3,I5,144,MX350,8,512,0,14,fhd,93000
acer,Swift 3,I7,144,MX350,8,512,0,14,fhd,115990
acer,Swift 3,ry,144,Vega 8,8,256,0,14,fhd,95000
acer,Nitro 5,I5,144,GTX 1650 T,8,0,1024,16,fhd,115000
acer,Nitro 5,I5,144,GTX 1650 T,8,256,0,16,fhd,118000
acer,Nitro 5,I5,144,GTX 1650 T,8,512,0,16,fhd,125000
acer,Nitro 5,I5,144,RTX 2060,8,0,1024,16,fhd,140000
acer,Nitro 5,I7,144,GTX 1650 T,8,256,0,16,fhd,145000
acer,Nitro 5,I7,144,GTX 1650 T,8,512,0,16,fhd,155000
acer,Nitro 5,ry,144,GTX 1650 T,8,0,1024,16,fhd,126000
acer,Nitro 5,ry,144,GTX 1650 T,8,256,0,16,fhd,123000
acer,Nitro 5,ry,144,GTX 1650 T,8,0,1024,16,fhd,137000
acer,Nitro 5,I7,144,GTX 1650 T,8,512,0,16,fhd,144000
acer,Predator,I5,144,GTX 1660 T,8,512,0,16,fhd,149000
acer,Predator,I5,144,GTX 1660 T,8,512,0,16,fhd,169000
acer,Predator,I7,144,GTX 1660 T,16,512,0,16,fhd,190000
acer,Predator,I7,144,RTX 2060,16,512,0,16,fhd,182000
acer,Predator,I7,144,RTX 2070,16,512,0,16,fhd,235000
acer,Predator,I7,144,RTX 2070,16,512,0,16,fhd,214000
acer,Predator,I7,144,RTX 2070,16,512,0,16,fhd,265000
asus,VivoBook,ce,60,Intel UHD,4,256,0,14,hd,48000
asus,VivoBook,I5,144,Intel UHD,8,256,0,14,fhd,83000
asus,VivoBook,ce,144,Intel UHD,4,256,0,16,fhd,48000
asus,VivoBook,ry,144,Radeon gra,8,256,0,16,fhd,87000
asus,VivoBook,I5,144,Intel UHD,8,512,0,16,fhd,88000
asus,VivoBook,I7,144,MX330,8,1024,0,16,fhd,116000
asus,VivoBook,I5,144,Intel UHD,8,512,0,14,fhd,106000
asus,VivoBook,I5,144,Intel UHD,8,512,0,14,fhd,106666
asus,VivoBook,I7,144,Intel UHD,16,512,0,14,fhd,131111
asus,VivoBook,I3,144,Intel UHD,4,256,0,14,fhd,83000
asus,VivoBook,ry,144,Radeon Gra,8,512,0,14,fhd,108000
asus,VivoBook,ry,144,Radeon Gra,8,512,0,14,fhd,116000
asus,VivoBook,I7,144,MX250,8,512,0,16,fhd,128888
asus,VivoBook,I7,144,MX350,16,512,0,16,fhd,141111
asus,ZenBook ,I5,144,Intel UHD,8,512,0,13,fhd,125000
asus,ZenBook ,I7,144,Intel Iris,16,512,0,13,fhd,148000
asus,ZenBook ,I5,144,Intel Iris,8,512,0,13,fhd,133000
asus,ZenBook ,I7,144,Intel Iris,16,512,0,13,fhd,154000
asus,ZenBook ,I5,144,Intel UHD,8,512,0,14,fhd,142000
asus,ZenBook ,I5,144,Intel UHD,8,512,0,14,fhd,125000
asus,ZenBook ,I5,144,Intel Iris,8,512,0,14,fhd,133000
asus,ZenBook ,I5,144,GeForce MX,8,512,0,14,fhd,153000
asus,ZenBook ,I7,144,GeForce MX,16,512,0,14,fhd,176000
asus,ZenBook ,I7,144,Intel Iris,16,512,0,14,fhd,154000
asus,ZenBook ,I7,144,GeForce GT,16,1024,0,16,fhd,207000
asus,ZenBook ,I5,144,Intel UHD,8,512,0,14,fhd,134000
asus,ZenBook ,I5,144,Intel Iris,8,512,0,13,fhd,128000
asus,ZenBook ,I7,144,Intel Iris,16,512,0,13,fhd,176000
asus,ZenBook ,I7,144,GeForce MX,16,1024,0,14,fhd,215000
asus,TUF F15 ,I5,144,GTX 1650 T,8,512,0,16,fhd,120000
asus,TUF F15 ,I5,144,GTX 1650 T,16,512,0,16,fhd,125000
asus,TUF F15 ,I7,144,GTX 1660 T,16,512,0,16,fhd,183333
asus,TUF F15 ,I7,144,GTX 1650,8,512,0,16,fhd,148000
asus,TUF F15 ,I7,144,GTX 1650 T,16,512,0,16,fhd,157777
asus,TUF Dash,I5,144,RTX 3060,8,512,0,16,fhd,183000
asus,TUF Dash,I7,144,RTX 3060,8,512,0,16,fhd,215000
asus,TUF Dash,I7,240,RTX 3070,16,1024,0,16,fhd,183000
asus,TUF A15 ,I7,144,GTX 1650 T,16,512,0,16,fhd,152000
asus,TUF A15 ,I7,144,GTX 1660 T,16,512,0,16,fhd,161000
asus,ROG Stri,I5,144,GTX 1650 T,16,512,0,16,fhd,148000
asus,ROG Stri,I7,144,GTX 1650 T,16,512,0,16,fhd,168800
asus,ROG Stri,ry,300,RTX 3080,16,1024,0,16,fhd,410000
asus,Zephyrus,I7,120,GTX 1660 T,16,512,0,14,fhd,200000
dell,Inspiron,I3,60,Intel UHD,4,0,1024,16,hd,58750
dell,Inspiron,I5,144,MX330,4,0,1024,16,fhd,86235
dell,Inspiron,I5,144,Intel UHD,8,256,0,13,fhd,102000
dell,Inspiron,I5,144,Intel UHD,8,256,0,13,fhd,103000
dell,Inspiron,I5,144,MX350,8,512,0,13,fhd,126270
dell,Inspiron,I7,144,MX350,8,512,0,13,fhd,140490
dell,Inspiron,I5,144,Iris Xe,8,512,0,14,fhd,126380
dell,Inspiron,I5,144,MX230,8,512,0,14,fhd,135835
dell,Inspiron,I7,144,MX230,8,512,0,14,fhd,154455
dell,Inspiron,I7,144,Intel UHD,8,256,0,16,fhd,120000
dell,Inspiron,I7,144,Radeon,8,512,0,16,fhd,113905
dell,Inspiron,I5,144,MX230,8,512,0,16,fhd,95000
dell,Inspiron,I5,144,Intel Iris,8,512,0,13,fhd,161405
dell,Inspiron,I7,144,Intel Iris,16,512,0,13,4k,189905
dell,Inspiron,I5,144,Intel Iris,8,256,0,13,fhd,118000
dell,Inspiron,I5,144,Intel Iris,8,512,0,13,4k,120000
dell,Inspiron,I7,144,Intel Iris,8,256,0,13,fhd,148000
dell,Inspiron,I7,144,Intel Iris,16,512,0,13,4k,157000
dell,Inspiron,I5,144,Intel Iris,8,256,0,14,fhd,118000
dell,Inspiron,I7,144,Intel Iris,8,512,0,14,fhd,120000
dell,Inspiron,I7,144,Intel Iris,8,256,0,14,fhd,125000
dell,Inspiron,I5,144,Intel Iris,8,512,0,14,fhd,125000
dell,Inspiron,I7,144,Intel Iris,16,512,0,14,fhd,156000
dell,Inspiron,I7,144,Intel Iris,16,1024,0,16,fhd,175000
dell,G3 G3500,I5,144,GTX 1650 T,8,512,0,16,fhd,125000
dell,G3 G3500,I5,144,GTX 1660 T,16,512,0,16,fhd,135000
dell,G5 15 55,I7,144,RTX 2070,8,512,0,16,fhd,205105
dell,G5 15 55,I7,144,RTX 2070,16,1024,0,16,fhd,242250
dell,G5 15 SE,I7,144,RX 5600M,8,512,0,16,fhd,152800
dell,G5 15 SE,I7,144,RX 5600M,8,512,0,16,fhd,158000
dell,G5 15 SE,I7,144,RX 5600M,16,512,0,16,fhd,158800
dell,G7 7500,I7,144,RTX 2060,16,512,0,16,fhd,237500
dell,Alienwar,I7,300,RTX 2070 S,16,512,0,16,fhd,310000
dell,Vostro 1,I3,60,Intel UHD,4,0,1024,14,hd,60000
dell,Vostro 1,I5,144,Intel Iris,4,0,1024,14,fhd,77500
dell,Vostro 1,I3,60,Intel UHD,4,0,1024,14,hd,57500
dell,Vostro 1,I3,144,Intel UHD,4,0,1024,14,fhd,60040
dell,Vostro 1,I7,144,MX330,8,512,0,16,fhd,112000
dell,Vostro 1,I5,144,Intel Iris,4,0,1024,16,fhd,77501
dell,Vostro 1,I5,60,Intel,8,256,0,14,hd,85000
dell,Vostro 1,I5,60,NVIDIA 2GB,8,256,0,14,hd,90000
dell,Vostro 1,I3,60,Intel UHD,4,0,1024,14,hd,57500
dell,Latitude,I5,60,Intel UHD,4,0,1024,14,hd,82500
dell,XPS 13 7,I5,144,Intel UHD,8,256,0,13,fhd,140000
dell,XPS 13 7,I5,144,Intel UHD,8,256,0,13,fhd,144800
dell,XPS 13 7,I7,144,Intel UHD,16,512,0,13,fhd,200000
dell,XPS 13 9,I5,144,Iris Xe,8,512,0,13,fhd,214740
dell,XPS 13 9,I5,144,Iris Xe,8,256,0,13,fhd,228050
dell,XPS 13 9,I5,144,Iris Xe,16,512,0,13,fhd,308850
dell,XPS 13 9,I7,144,Iris Xe,16,512,0,13,4k,210800
dell,XPS 15 9,I5,144,Intel UHD,8,512,0,16,fhd,174800
dell,XPS 15 9,I7,144,GTX 1650 T,16,512,0,16,4k,258800
dell,XPS 15 9,I7,144,GTX 1650 T,16,512,0,16,4k,268800
hp,hp Lapto,I3,144,Intel UHD,8,0,0,14,fhd,61990
hp,hp Lapto,I5,60,Intel UHD,8,0,0,14,hd,78990
hp,hp Lapto,I3,60,Intel UHD,8,0,0,16,hd,64990
hp,hp Lapto,I3,60,Intel UHD,8,0,0,14,hd,64800
hp,hp Lapto,I5,60,Radeon 530,4,0,0,14,hd,79990
hp,hp Lapto,I5,60,Radeon 531,8,128,1024,14,hd,86990
hp,hp Lapto,I7,60,Intel Iris,8,256,0,16,hd,99990
hp,Notebook,I3,144,Intel UHD,8,256,0,14,fhd,63000
hp,Notebook,I3,144,Intel UHD,4,512,0,14,fhd,68500
hp,Notebook,I5,144,MX130,4,0,1024,14,fhd,89000
hp,Pavilion,I5,144,Intel UHD,8,256,0,14,fhd,110000
hp,Pavilion,I5,144,Iris Xe,8,512,0,14,fhd,115000
hp,Pavilion,ry,144,Radeon,8,512,0,16,fhd,99990
hp,Pavilion,ry,144,GTX 1650,8,256,0,16,fhd,108000
hp,Pavilion,ry,144,GTX 1650,4,256,0,16,fhd,106800
hp,Pavilion,I5,144,GTX 1660 T,8,512,0,16,fhd,134800
hp,Pavilion,I7,144,GTX 1650 T,8,512,0,16,fhd,146800
hp,Envy 13,I5,144,Iris Xe,8,256,0,13,fhd,114990
hp,Envy 13,I5,144,Iris Xe,8,256,0,13,fhd,120000
hp,Envy 13,I7,144,Iris Plus,8,512,0,13,4k,148000
hp,Envy x36,I7,144,Iris Xe,8,512,0,13,fhd,140000
hp,hp Omen ,I7,144,GTX 1660 T,8,512,0,16,fhd,160000
hp,hp Omen ,I7,144,GTX 1660 T,16,1024,0,16,fhd,175000
hp,hp Spect,I5,144,Iris Plus,8,256,0,13,fhd,142000
hp,hp Spect,I7,144,Iris Plus,8,512,0,13,fhd,185000
hp,hp Spect,I7,144,MX250,16,512,0,16,4k,225000
lenovo,V14-IIL ,I5,60,Intel UHD,4,0,1024,14,hd,82000
lenovo,IdeaPad ,I3,60,Intel UHD,4,0,1024,14,hd,59800
lenovo,IdeaPad ,I7,60,Intel UHD,8,256,0,13,hd,119990
lenovo,IdeaPad ,I7,60,Intel UHD,16,512,0,13,hd,129990
lenovo,IdeaPad ,I5,144,Intel UHD,8,512,0,14,fhd,75990
lenovo,IdeaPad ,I5,144,Intel UHD,8,256,0,14,fhd,85000
lenovo,IdeaPad ,ry,144,Radeon,4,256,0,14,fhd,74000
lenovo,IdeaPad ,I7,144,MX350,16,512,0,14,fhd,134990
lenovo,IdeaPad ,I7,144,GTX 1650 T,8,256,1024,16,fhd,139000
lenovo,IdeaPad ,I7,144,GTX 1650 T,16,256,1024,16,fhd,152000
lenovo,Flex 5,ry,144,Radeon,16,256,0,14,fhd,110000
lenovo,Flex 14x,I7,144,Intel UHD,8,512,0,14,fhd,124990
lenovo,Flex 14 ,ry,144,Radeon gra,16,256,0,14,fhd,118000
lenovo,Yoga C74,I5,144,Intel UHD,8,256,0,14,fhd,105000
lenovo,Yoga C94,I7,144,Iris Plus,8,512,0,13,fhd,169000
lenovo,Yoga 7i,I5,144,Iris Xe,8,256,0,16,fhd,115000
lenovo,Yoga Due,I5,60,Intel UHD,8,512,0,13,hd,145000
lenovo,Yoga 7i,I5,144,Iris Xe,8,256,0,16,fhd,115000
lenovo,Yoga 7 2,I7,144,Iris Xe,12,512,0,14,fhd,135000
lenovo,Yoga Sli,I7,144,Iris Xe,16,1024,0,13,WQXGA,185000
lenovo,Yoga 9 2,I7,144,Iris Xe,16,512,0,14,Touch,198000
lenovo,ThinkPad,I5,144,Intel UHD,8,0,1024,14,fhd,108800
lenovo,ThinkPad,I7,144,Intel UHD,8,256,0,14,fhd,138800
lenovo,ThinkPad,I5,144,Intel UHD,8,256,0,13,fhd,135000
lenovo,ThinkPad,I5,144,Intel UHD,8,256,0,14,fhd,144000
lenovo,ThinkPad,I5,144,Intel UHD,8,256,0,14,fhd,145000
lenovo,Thinkpad,ry,144,Radeon,16,256,0,13,fhd,143000
lenovo,TinkPad ,I5,144,Intel UHD,8,256,0,13,fhd,159000
lenovo,ThinkPad,I5,144,Intel UHD,8,256,0,13,fhd,179000
lenovo,ThinkPad,I5,144,Intel UHD,16,512,0,13,fhd,198000
lenovo,Legion 5,ry,120,RTX 2060,8,512,0,16,fhd,154800
lenovo,Legion 5,ry,120,RTX 2060,16,512,0,16,fhd,160800
lenovo,Legion 5,I7,120,GTX 1650,8,256,0,16,fhd,150000
lenovo,Legion 5,I7,120,GTX 1660 T,16,512,0,16,fhd,170800
lenovo,Legion 5,I7,120,RTX 2060,16,512,0,16,fhd,190800
lenovo,Legion 5,I7,120,GTX 1650 T,8,512,0,16,fhd,142800
lenovo,Legion 5,I7,120,GTX 1660 T,8,512,1024,16,fhd,154800
lenovo,Legion 5,I7,144,RTX 2060,16,256,0,16,fhd,184800
lenovo,Legion 5,I7,240,RTX 2060,16,512,0,16,fhd,195000
lenovo,Legion 7,I7,144,RTX 2070 S,16,1024,0,16,fhd,238800
apple,MacBook ,m1,144,Intel,8,256,0,13,fhd,159500
apple,MacBook ,m1,144,Intel,8,512,0,13,fhd,203000
apple,MacBook ,m1,144,Intel,8,256,0,13,fhd,205000
apple,MacBook ,m1,144,Intel,8,512,0,13,fhd,240000
apple,MacBook ,m1,144,Intel,16,256,0,13,fhd,240000
apple,MacBook ,m1,144,Intel,16,512,0,13,fhd,275000
msi,msi Stea,I7,144,GTX 1660 T,16,512,0,16,fhd,229000
msi,msi Stea,I7,144,RTX 2060 M,16,512,0,16,fhd,239000
msi,msi GS66,I7,144,RTX 2060,16,512,0,16,fhd,265000
msi,msi GS66,I7,144,GTX 1660 T,16,512,0,16,fhd,255000
msi,msi GS66,I7,144,RTX 2070,32,1024,0,16,fhd,386000
msi,msi GE66,I7,144,RTX 2070,16,1024,0,16,fhd,306000
msi,msi GE76,I7,144,RTX 3070,16,2048,0,16,fhd,320000
msi,msi GE76,I7,144,RTX 3070,32,2048,0,16,fhd,350000
msi,msi GP65,I7,144,GTX 1660 T,16,512,0,16,fhd,205000
msi,msi GP66,I7,144,RTX 3060,16,1024,0,16,fhd,259000
msi,msi GP67,I7,144,RTX 3060,16,1024,0,16,fhd,259000
msi,msi GL75,I7,144,GTX 1660 T,16,512,0,16,fhd,189000
msi,msi GL75,I7,144,RTX 2070,8,512,1024,16,fhd,250000
msi,msi GF63,I7,144,GTX 1650,8,512,0,16,fhd,137000
msi,msi GF65,I5,120,GTX 1660 T,8,1024,0,16,fhd,145000
msi,msi GF65,I7,144,GTX 1660 T,8,1024,0,16,fhd,175000
msi,msi GF65,I5,144,RTX 3060,16,512,0,16,fhd,198000
msi,msi GF65,I7,144,RTX 3060,16,512,0,16,fhd,220000
msi,msi Brav,I7,144,Radeon RX,8,1024,0,16,fhd,155000
msi,msi Crea,I7,144,RTX 2070,32,512,0,16,4k,360000
msi,msi Pres,I5,144,Iris Xe,16,512,0,16,fhd,173000
msi,msi Pres,I7,144,Iris Xe,16,512,0,16,fhd,193000
msi,msi Pres,I7,144,GTX 1650 T,16,512,0,16,fhd,241000
msi,msi Mode,I5,144,Intel,8,512,0,16,uhd,110000
msi,msi Mode,I5,144,MX450,8,512,0,14,fhd,135000
msi,msi Mode,I7,144,MX450,8,512,0,14,fhd,147000
msi,msi Mode,I5,144,MX450,8,512,0,16,fhd,137000
msi,msi Mode,I7,144,MX450,8,512,0,16,fhd,148000
msi,msi Summ,I5,144,Iris Xe,8,512,0,16,fhd,138000
msi,msi Summ,I7,144,Iris Xe,8,512,0,16,fhd,168000
msi,msi Summ,I7,144,GTX 1650 T,16,1024,0,16,fhd,249000
msi,msi Summ,I7,144,GTX 1650 T,16,1024,0,16,4k,259000
microsoft,Microsof,I3,144,Intel,4,128,0,12,fhd,117000
microsoft,Microsof,I5,144,Intel,8,128,0,12,fhd,142000
microsoft,Microsof,I5,144,Intel,8,256,0,12,fhd,188000
microsoft,Microsof,I7,144,Intel,16,256,0,12,fhd,228000
microsoft,Microsof,I5,144,Intel,8,128,0,14,fhd,159000
microsoft,Microsof,ry,144,Radeon Veg,8,128,0,15,fhd,187000
razer,Razer Bl,I7,120,GTX 1650 T,16,512,0,16,fhd,289000
razer,Razer Bl,I7,144,RTX 2060,16,512,0,16,fhd,279000
razer,Razer Bl,I7,144,RTX 2070,16,512,0,16,fhd,310000
ripple,Pandora,I7,144,Iris Xe,8,256,0,16,fhd,75000
ripple,Artifact,I5,144,GTX 1650 T,8,256,0,16,fhd,120000
ripple,Artifact,I7,144,RTX 2060,8,256,0,16,fhd,175000
ripple,Artifact,I7,144,RTX 3060,16,256,0,16,fhd,200000
ripple,Raze,I5,144,RTX 3050,8,256,0,16,fhd,150000
ripple,Raze Pro,I7,144,RTX 3050,8,256,0,16,fhd,200000
ripple,Genos,ry,144,RTX 2060,8,256,0,16,fhd,185000
ripple,Genos Pr,ry,144,RTX 2070,8,256,0,16,fhd,225000
hp,15CS3079,I5,144,Intel,8,256,0,16,fhd,86000
asus,TUF FX 5,I5,144,GTX 1650 T,8,256,0,16,fhd,115000
hp,PAVILION,I5,144,GTX1650 4,8,256,0,16,fhd,112000
hp,24-DF030,I3,144,Intel,12,256,0,24,fhd,88000
hp,15-GW001,ry,144,Intel,4,128,1024,16,fhd,63500
lenovo,V14,ry,144,AMD Radeon,8,0,1024,14,fhd,78500
hp,Hp-14,I5,144,Intel,8,256,0,14,fhd,84000
hp,Hp-14,ry,144,Radeon Veg,4,0,1024,14,fhd,56000
hp,Pavilion,I5,144,Intel,8,256,0,14,fhd,85000
lenovo,Legion 5,I7,60,NVIDIA GTX,8,512,0,14,hd,155000
dell,Inspiron,I7,60,Nvidia MX ,8,512,0,13,hd,116000
lenovo,Yoga 7 1,I5,144,Intel,8,256,0,16,touch,107000
hp,Hp-15-DY,I5,60,Intel,8,256,0,16,hd,80000
hp,Hp-255,ry,144,Intel,8,0,1024,16,fhd,74000
hp,15-da218,I5,60,Intel,4,0,1024,16,hd,76000
hp,Hp- 14,I5,144,Intel,8,256,0,14,fhd,84000
hp,Hp-15,I5,60,Intel,8,256,0,16,hd,86000
hp,Hp-14,I3,60,Intel,8,256,0,14,hd,65000
dell,Vostro 3,I7,144,Nvidia MX2,8,512,0,16,fhd,115000
dell,Vostro 3,I3,60,Integrated,4,0,1024,14,hd,57500
lenovo,Ideapad ,I3,144,Intel,8,256,0,16,fhd,63000
